$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughputread
1,8,4,16,75,25,16,128,2,209.76625
1,10,4,32,25,75,16,128,1,23.8092
1,10,4,32,25,75,16,128,2,25.5524
1,8,2,8,25,75,16,128,2,21.8908
1,4,2,16,75,25,16,128,1,112.5284
1,4,2,16,75,25,16,128,2,136.38125
1,10,4,16,75,25,64,1024,2,1854.2125
1,6,2,16,100,0,16,64,1,225.78625
1,6,2,16,100,0,16,64,2,839.4329166667
1,8,4,32,75,25,16,128,1,206.1836
1,6,4,32,100,0,64,1024,1,131.5356
1,10,2,16,75,25,16,128,2,185.5224
1,10,2,16,75,25,16,128,1,174.2170833333
1,10,1,4,100,0,16,64,2,201.5054166667
1,10,1,4,100,0,16,64,1,106.2779166667
1,10,4,16,100,0,64,1024,1,239.6041666667
1,8,1,8,50,50,16,128,1,57.3575
1,4,4,32,50,50,16,128,1,39.0692
1,6,2,16,25,75,16,128,1,20.3891666667
1,6,2,16,25,75,16,128,2,19.1348
1,10,4,16,75,25,16,128,1,206.7454166667
1,8,4,16,100,0,64,1024,2,3510.9516666667
1,6,2,8,75,25,16,128,1,134.6129166667
1,6,4,32,75,25,16,128,2,191.7272
1,10,2,16,50,50,16,128,2,71.9083333333
1,10,2,16,25,75,16,128,1,22.7820833333
1,10,2,16,25,75,16,128,2,24.9704166667
1,10,2,8,25,75,16,128,1,21.8566666667
1,10,2,8,25,75,16,128,2,21.7416
1,8,2,8,100,0,16,64,2,723.0416666667
1,8,2,8,100,0,16,64,1,214.4845833333
1,8,4,16,100,0,16,64,1,413.7775
1,8,4,16,75,25,64,1024,2,1781.1233333333
1,6,4,32,25,75,16,128,1,19.3468
1,8,4,16,75,25,64,1024,0,2168.06875
1,4,2,8,100,0,16,64,1,213.8608333333
1,8,2,16,100,0,16,64,1,225.3791666667
1,10,4,16,100,0,16,64,2,2295.0895833333
1,8,4,16,25,75,64,1024,0,382.4
1,8,4,32,100,0,16,64,1,448.9554166667
1,10,2,8,75,25,16,128,2,159.86125
1,10,2,8,75,25,16,128,1,142.8983333333
1,8,4,16,25,75,64,1024,2,255.6225
1,8,2,16,25,75,16,128,2,20.4783333333
1,8,2,16,25,75,16,128,1,23.5575
1,8,4,16,25,75,16,128,1,23.5820833333
1,4,2,8,25,75,16,128,2,16.3204166667
1,4,2,8,25,75,16,128,1,14.5766666667
1,8,1,8,100,0,16,64,1,113.435
1,8,1,8,100,0,16,64,2,218.5216666667
1,6,4,16,50,50,16,128,1,62.6304166667
1,4,2,16,50,50,16,128,1,42.7156
1,10,4,16,25,75,16,128,2,26.82375
1,8,4,32,75,25,16,128,2,209.4148
1,4,2,16,100,0,64,1024,1,75.5141666667
1,4,4,32,25,75,16,128,2,17.2724
1,6,2,8,25,75,16,128,1,18.0296
1,6,2,8,25,75,16,128,2,19.76625
1,6,4,32,50,50,16,128,1,56.4952
1,6,4,32,50,50,16,128,2,65.9652
1,8,1,4,75,25,16,128,2,90.6025
1,8,1,8,50,50,16,128,2,54.3558333333
1,10,4,32,50,50,16,128,1,76.4020833333
1,10,4,32,50,50,16,128,2,81.2358333333
1,4,1,4,100,0,16,64,1,107.3883333333
1,6,4,32,100,0,16,64,1,430.4829166667
1,6,4,32,25,75,16,128,2,20.386
