$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughputread
1,10,4,16,100,0,16,64,1,427.9483333333
1,4,4,32,100,0,16,64,2,2592.895
1,10,2,16,100,0,16,64,1,226.3154166667
1,10,2,16,100,0,16,64,2,847.3008333333
1,4,4,32,100,0,16,64,1,378.985
1,4,4,32,75,25,16,128,1,119.172
1,4,4,32,75,25,16,128,2,156.2072
1,10,2,8,50,50,16,128,2,65.0945833333
1,6,2,8,100,0,16,64,1,212.92125
1,6,2,8,100,0,16,64,2,715.71
1,4,4,16,75,25,16,128,2,153.1008
1,10,4,16,100,0,64,1024,2,3514.7608333333
1,4,4,16,75,25,16,128,1,125.3266666667
1,6,4,16,50,50,16,128,2,65.775
1,10,1,4,50,50,16,128,1,43.7275
1,4,1,4,25,75,16,128,1,13.53
1,8,4,32,100,0,16,64,2,3023.1029166667
1,10,4,16,100,0,64,1024,0,3900.8283333333
1,6,4,16,75,25,16,128,1,179.79625
1,10,2,16,100,0,64,1024,1,181.8341666667
1,6,4,16,75,25,16,128,2,194.1625
1,8,1,8,25,75,16,128,2,19.7932
1,8,1,8,25,75,16,128,1,20.5354166667
1,10,4,16,50,50,64,1024,2,791.6766666667
1,4,4,32,50,50,16,128,2,46.8316
1,6,2,8,50,50,16,128,1,59.7079166667
1,4,4,16,25,75,16,128,1,12.6444
1,4,4,16,25,75,16,128,2,18.6616666667
1,6,2,8,50,50,16,128,2,62.6916666667
1,4,2,8,75,25,16,128,1,117.1041666667
1,4,2,8,75,25,16,128,2,117.0583333333
1,8,1,4,50,50,16,128,2,42.9325
1,10,1,8,75,25,16,128,1,97.4675
1,10,1,8,25,75,16,128,2,22.0254166667
1,8,2,8,100,0,64,1024,1,118.6883333333
1,10,4,16,25,75,64,1024,2,286.8629166667
1,10,4,16,25,75,64,1024,0,417.3216666667
1,4,4,16,50,50,16,128,1,41.3483333333
1,4,4,16,50,50,16,128,2,50.5392
1,10,2,8,50,50,16,128,1,62.7516666667
1,10,1,8,75,25,16,128,2,106.1716666667
1,8,2,16,50,50,16,128,2,65.786
1,10,4,16,50,50,16,128,2,78.31875
1,10,4,16,50,50,16,128,1,72.7979166667
1,6,4,16,100,0,16,64,2,2189.20125
1,6,4,16,100,0,16,64,1,397.3495833333
1,8,4,16,100,0,64,1024,0,3884.4170833333
1,8,4,16,100,0,64,1024,1,160.70625
1,6,2,16,75,25,16,128,2,181.6454166667
1,8,2,8,50,50,16,128,2,62.6752
1,8,2,8,50,50,16,128,1,62.8554166667
1,4,4,16,100,0,64,1024,1,76.7852
1,4,2,16,100,0,16,64,2,841.03375
1,8,4,16,25,75,16,128,2,24.2183333333
1,4,2,16,25,75,16,128,1,12.4324
1,6,2,8,100,0,64,1024,1,92.9225
1,6,4,16,100,0,64,1024,1,118.0132
1,10,4,32,75,25,16,128,2,226.7679166667
1,8,4,16,50,50,16,128,1,69.3096
1,8,4,16,50,50,64,1024,0,1041.07125
1,8,4,16,50,50,16,128,2,69.7316666667
1,8,4,32,25,75,16,128,2,24.9272
1,8,4,32,50,50,16,128,2,81.2704166667
1,8,4,32,50,50,16,128,1,71.8791666667
1,8,4,32,25,75,16,128,1,23.1276
1,6,2,8,75,25,16,128,2,154.9429166667
1,6,4,16,25,75,16,128,1,20.0488
1,10,1,8,100,0,16,64,1,113.4441666667
1,8,2,16,100,0,16,64,2,836.96375
1,10,1,8,100,0,16,64,2,218.8033333333
1,8,4,16,100,0,16,64,2,2192.3345833333
1,4,1,4,50,50,16,128,1,37.9267857143
1,10,1,4,50,50,16,128,2,45.33
1,10,4,16,75,25,16,128,2,204.6875
1,8,4,16,50,50,64,1024,2,716.1066666667
1,4,4,32,25,75,16,128,1,13.7944
1,6,2,16,50,50,16,128,1,60.27125
1,6,2,16,50,50,16,128,2,66.2258333333
1,8,4,32,100,0,64,1024,1,175.2668
1,10,1,8,50,50,16,128,1,58.155
1,4,2,16,25,75,16,128,2,14.8352
1,8,2,16,50,50,16,128,1,71.1745833333
1,4,4,16,100,0,16,64,1,350.615
1,4,4,16,100,0,16,64,2,2016.52875
1,6,4,16,25,75,16,128,2,21.502
1,4,2,8,50,50,16,128,2,45.1
1,4,2,8,50,50,16,128,1,38.3512
1,10,4,32,75,25,16,128,1,212.7108333333
1,10,1,4,25,75,16,128,1,16.9275
1,10,1,4,25,75,16,128,2,16.96
1,4,2,16,100,0,16,64,1,223.9720833333
1,4,2,16,50,50,16,128,2,44.7575
1,8,2,8,75,25,16,128,1,135.7695833333
1,8,2,8,75,25,16,128,2,164.1270833333
1,6,2,16,100,0,64,1024,1,125.06
1,8,4,16,75,25,16,128,1,197.2695833333
1,4,4,32,100,0,64,1024,1,79.902
1,10,2,8,100,0,16,64,1,214.865
1,10,2,8,100,0,16,64,2,723.02125
1,8,1,8,75,25,16,128,2,104.7520833333
1,10,2,8,100,0,64,1024,1,125.3216666667
1,8,2,16,75,25,16,128,1,166.71125
1,8,2,16,75,25,16,128,2,179.8066666667
1,10,2,16,50,50,16,128,1,70.4416666667
1,10,4,16,50,50,64,1024,0,1111.5604166667
1,10,1,8,50,50,16,128,2,55.8520833333
1,6,2,16,75,25,16,128,1,167.0675
1,10,1,8,25,75,16,128,1,21.88
1,10,4,16,25,75,16,128,1,24.40125
1,10,4,32,100,0,64,1024,1,312.5783333333
1,4,2,8,100,0,16,64,2,707.3091666667
1,10,1,4,75,25,16,128,2,90.8166666667
1,10,1,4,75,25,16,128,1,80.1475
1,8,2,16,100,0,64,1024,1,163.1275
