$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,6,4,4,10,90,16,4096,0,7.5983333333
1,4,2,8,75,25,16,4096,0,114.5644444444
1,10,4,8,25,75,16,4096,0,23.8736111111
1,30,2,2,75,25,16,4096,0,50.6713888889
1,4,2,2,50,50,16,4096,0,24.6141666667
1,4,1,2,90,10,16,4096,0,52.13
1,4,4,8,10,90,16,4096,0,7.5163888889
1,10,4,4,25,75,16,4096,0,22.3861111111
1,30,1,8,25,75,16,4096,0,24.5177777778
1,6,4,32,75,25,16,4096,0,219.1208333333
1,30,1,2,90,10,16,4096,0,50.9222222222
1,8,2,4,50,50,16,4096,0,58.8152777778
1,10,4,4,10,90,16,4096,0,7.4625
1,4,2,4,75,25,16,4096,0,71.1925
1,8,1,8,90,10,16,4096,0,247.0061111111
1,30,4,32,10,90,16,4096,0,7.7878378378
1,6,2,8,90,10,16,4096,0,255.7755555556
1,4,1,1,50,50,16,4096,0,14.4347222222
1,20,1,1,100,0,16,4096,0,14.9505555556
1,8,4,8,75,25,16,4096,0,209.2088888889
1,6,4,16,90,10,16,4096,0,459.4327777778
1,30,4,32,75,25,16,4096,0,222.2356756757
1,10,4,16,100,0,16,4096,0,853.1461111111
1,20,2,16,100,0,16,4096,0,384.4616666667
1,10,2,4,90,10,16,4096,0,211.2441666667
1,20,1,8,90,10,16,4096,0,175.3055555556
1,30,4,4,90,10,16,4096,0,154.7113888889
1,6,1,2,10,90,16,4096,0,5.0313888889
1,20,2,2,90,10,16,4096,0,62.6355555556
1,20,4,4,25,75,16,4096,0,20.0838888889
1,20,2,16,50,50,16,4096,0,73.7340540541
1,6,4,16,75,25,16,4096,0,210.8361111111
1,10,4,16,90,10,16,4096,0,542.5113888889
1,10,1,2,50,50,16,4096,0,32.0219444444
1,10,1,4,10,90,16,4096,0,7.5108333333
1,20,4,8,10,90,16,4096,0,8.6663888889
1,4,1,2,100,0,16,4096,0,63.6616666667
1,30,1,2,100,0,16,4096,0,54.8272222222
1,4,4,32,90,10,16,4096,0,345.8102777778
1,6,2,2,50,50,16,4096,0,29.2586111111
1,6,2,4,100,0,16,4096,0,202.5644444444
1,8,2,2,25,75,16,4096,0,14.4086111111
1,6,1,1,10,90,16,4096,0,3.0841666667
1,6,2,8,10,90,16,4096,0,8.7280555556
1,30,4,8,90,10,16,4096,0,284.3252777778
1,6,2,2,25,75,16,4096,0,13.1336111111
1,8,1,2,10,90,16,4096,0,5.1888888889
1,20,1,4,25,75,16,4096,0,18.2327777778
