$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-write
1,6,4,4,90,10,64,1024,3,18.2196666667
1,6,2,4,10,90,64,1024,3,35.7224590164
1,4,4,8,75,25,64,1024,3,24.6895
1,8,2,8,0,100,64,1024,3,49.3344262295
1,8,2,16,50,50,64,1024,1,30.5355737705
1,10,4,32,50,50,64,1024,2,44.9568333333
1,10,4,32,50,50,64,1024,1,47.6275409836
1,8,2,16,50,50,64,1024,2,29.0626229508
1,10,4,32,75,25,64,1024,1,43.0083606557
1,10,1,2,0,100,64,1024,3,35.5955
1,10,2,16,75,25,64,1024,3,59.776
1,4,4,8,10,90,64,1024,3,30.418
1,6,4,8,50,50,64,1024,3,42.9
1,6,2,16,10,90,64,1024,3,45.306557377
1,6,2,16,10,90,64,1024,2,23.0949180328
1,6,2,16,10,90,64,1024,1,24.8962295082
1,6,2,16,10,90,64,1024,0,46.1503278689
1,4,1,4,25,75,64,1024,3,24.8038333333
1,4,4,16,75,25,64,1024,3,29.0024590164
1,6,1,8,75,25,64,1024,1,14.7726666667
1,10,4,16,25,75,64,1024,3,67.6847540984
1,6,1,8,75,25,64,1024,3,31.9566666667
1,6,1,8,75,25,64,1024,2,15.4688333333
1,8,4,8,10,90,64,1024,3,51.8453333333
1,6,4,4,10,90,64,1024,3,36.2373770492
1,8,4,8,90,10,64,1024,3,33.1443333333
1,4,1,8,25,75,64,1024,1,16.4146666667
1,4,1,8,25,75,64,1024,0,27.1765
1,4,1,8,25,75,64,1024,3,27.0525
1,4,1,8,25,75,64,1024,2,14.9688333333
1,6,4,8,90,10,64,1024,3,27.8145901639
1,8,1,8,50,50,64,1024,2,25.1468333333
1,8,1,8,50,50,64,1024,3,50.0911666667
1,8,1,8,50,50,64,1024,0,40.6967213115
1,8,1,8,50,50,64,1024,1,24.449
1,10,1,1,75,25,64,1024,3,9.7541666667
1,10,4,32,50,50,64,1024,3,82.2573333333
1,10,1,1,50,50,64,1024,3,15.5288333333
1,8,2,16,50,50,64,1024,0,58.1504918033
1,8,2,16,50,50,64,1024,3,57.4613333333
1,10,4,32,50,50,64,1024,0,75.4935
1,10,2,16,50,50,64,1024,3,66.663442623
1,10,2,16,50,50,64,1024,2,38.5768852459
1,10,2,16,50,50,64,1024,1,38.031147541
1,10,2,16,50,50,64,1024,0,60.317704918
1,4,2,16,90,10,64,1024,1,8.2296666667
1,4,2,16,90,10,64,1024,0,16.7443333333
1,4,2,16,90,10,64,1024,3,19.99
1,4,2,16,90,10,64,1024,2,7.2872131148
1,4,1,4,50,50,64,1024,3,23.162
1,8,1,8,75,25,64,1024,3,36.9326666667
