$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-read
1,6,4,4,90,10,64,1024,3,165.2573333333
1,6,2,4,10,90,64,1024,3,4.7031147541
1,4,4,8,75,25,64,1024,3,72.9465
1,8,2,16,50,50,64,1024,1,30.6008196721
1,10,4,32,50,50,64,1024,2,44.7426666667
1,10,4,32,50,50,64,1024,1,48.6350819672
1,8,2,16,50,50,64,1024,2,29.0901639344
1,10,2,16,100,0,64,1024,0,438.0018333333
1,10,2,16,100,0,64,1024,1,162.5968333333
1,10,2,16,100,0,64,1024,2,186.4506557377
1,10,4,32,75,25,64,1024,1,126.7096721311
1,10,2,16,75,25,64,1024,3,182.6925
1,4,4,8,10,90,64,1024,3,4.8566666667
1,6,4,8,50,50,64,1024,3,42.8959016393
1,6,2,16,10,90,64,1024,3,4.7791803279
1,6,2,16,10,90,64,1024,2,2.5104918033
1,6,2,16,10,90,64,1024,1,2.7655737705
1,6,2,16,10,90,64,1024,0,5.2081967213
1,4,1,4,25,75,64,1024,3,9.1143333333
1,4,4,8,100,0,64,1024,3,344.3136666667
1,4,1,8,100,0,64,1024,1,73.4583333333
1,4,1,8,100,0,64,1024,0,155.6836666667
1,4,1,8,100,0,64,1024,3,192.5033333333
1,4,1,8,100,0,64,1024,2,78.6021666667
1,4,4,16,75,25,64,1024,3,85.2444262295
1,6,1,8,75,25,64,1024,1,43.0766666667
1,10,4,16,25,75,64,1024,3,22.9663934426
1,6,1,8,75,25,64,1024,3,96.625
1,6,1,8,75,25,64,1024,2,46.9426666667
1,8,4,8,10,90,64,1024,3,5.8186666667
1,6,4,4,10,90,64,1024,3,6.4975409836
1,10,2,16,100,0,64,1024,3,435.7836666667
1,8,4,8,90,10,64,1024,3,303.3758333333
1,4,1,8,25,75,64,1024,1,5.9553333333
1,4,1,8,25,75,64,1024,0,8.8761666667
1,4,1,8,25,75,64,1024,3,9.3491666667
1,4,1,8,25,75,64,1024,2,5.216
1,6,4,8,90,10,64,1024,3,245.7942622951
1,4,4,16,100,0,64,1024,3,528.7423333333
1,6,1,8,100,0,64,1024,3,216.3443333333
1,6,1,8,100,0,64,1024,2,93.5645
1,6,1,8,100,0,64,1024,1,87.334
1,6,1,8,100,0,64,1024,0,191.9763333333
1,8,1,8,50,50,64,1024,2,25.076
1,8,1,8,50,50,64,1024,3,49.9708333333
1,8,1,8,50,50,64,1024,0,40.9554098361
1,8,1,8,50,50,64,1024,1,24.7281666667
1,10,1,1,75,25,64,1024,3,29.1126666667
1,10,4,32,50,50,64,1024,3,83.2718333333
1,10,1,1,50,50,64,1024,3,15.2648333333
1,8,2,16,50,50,64,1024,0,57.986557377
1,8,2,16,50,50,64,1024,3,57.6448333333
1,10,4,32,50,50,64,1024,0,75.0135
1,10,2,16,50,50,64,1024,3,66.8890163934
1,10,2,16,50,50,64,1024,2,38.5942622951
1,10,2,16,50,50,64,1024,1,37.8055737705
1,10,2,16,50,50,64,1024,0,61.0626229508
1,4,2,16,90,10,64,1024,1,74.234
1,4,2,16,90,10,64,1024,0,150.2845
1,4,2,16,90,10,64,1024,3,181.28
1,4,2,16,90,10,64,1024,2,65.0919672131
1,4,1,4,50,50,64,1024,3,23.6135
1,8,1,8,75,25,64,1024,3,111.21
1,8,1,8,75,25,64,1024,2,55.2338333333
1,8,1,8,75,25,64,1024,1,54.5355737705
1,8,1,8,75,25,64,1024,0,99.961
1,10,4,32,75,25,64,1024,3,239.6683333333
1,8,4,4,10,90,64,1024,3,4.7003333333
1,10,4,32,75,25,64,1024,0,203.1033333333
1,4,4,4,100,0,64,1024,3,186.5873333333
1,8,1,2,90,10,64,1024,3,81.2066666667
