$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-read
1,6,1,1,25,75,64,1024,3,5.7565
1,6,2,8,90,10,64,1024,3,224.4856666667
1,4,1,8,90,10,64,1024,2,55.5958333333
1,4,1,8,90,10,64,1024,3,119.1665
1,4,1,8,90,10,64,1024,0,105.3266666667
1,4,1,8,90,10,64,1024,1,53.5416393443
1,10,4,16,50,50,64,1024,3,67.0313114754
1,6,4,32,50,50,64,1024,3,53.537
1,6,4,32,50,50,64,1024,2,25.7772131148
1,6,4,32,50,50,64,1024,1,25.4683606557
1,6,4,32,50,50,64,1024,0,48.8560655738
1,4,1,2,100,0,64,1024,3,75.6261666667
1,6,2,2,90,10,64,1024,3,90.8818333333
1,10,4,32,100,0,64,1024,0,870.4591803279
1,10,4,32,100,0,64,1024,1,335.4313333333
1,10,4,32,100,0,64,1024,2,359.1496666667
1,10,4,32,100,0,64,1024,3,870.5276666667
1,8,2,16,100,0,64,1024,2,185.2591666667
1,8,2,16,100,0,64,1024,3,436.3446666667
1,8,2,16,100,0,64,1024,0,434.6285
1,8,2,16,100,0,64,1024,1,160.7176666667
1,4,2,16,50,50,64,1024,1,15.4593442623
1,4,2,16,10,90,64,1024,1,2.9673770492
1,4,2,16,10,90,64,1024,0,2.9906557377
1,4,2,16,10,90,64,1024,3,5.0456666667
1,4,2,16,10,90,64,1024,2,2.9672131148
1,6,2,16,100,0,64,1024,2,141.715
1,6,2,16,100,0,64,1024,3,438.5465
1,10,1,8,25,75,64,1024,3,22.6547540984
1,10,1,8,25,75,64,1024,2,11.7573770492
1,10,1,8,25,75,64,1024,1,10.7314754098
1,10,1,8,25,75,64,1024,0,17.3436666667
1,8,4,16,10,90,64,1024,3,7.8096666667
1,8,2,8,10,90,64,1024,3,7.2926666667
1,6,2,4,100,0,64,1024,3,268.2365
1,4,2,2,10,90,64,1024,3,5.305
1,8,2,16,25,75,64,1024,2,10.6445
1,8,2,16,25,75,64,1024,3,18.4713114754
1,8,2,16,25,75,64,1024,0,20.5752459016
1,10,1,4,90,10,64,1024,3,157.2065
1,6,2,2,10,90,64,1024,3,3.4285
1,4,2,2,90,10,64,1024,3,65.4165
1,8,1,4,10,90,64,1024,3,5.0718333333
1,10,1,4,25,75,64,1024,3,16.9462295082
1,10,2,4,50,50,64,1024,3,45.2286666667
1,6,4,16,75,25,64,1024,3,126.7937704918
1,10,4,4,90,10,64,1024,3,185.0198333333
1,8,2,4,50,50,64,1024,3,38.5893442623
1,4,2,4,25,75,64,1024,3,9.302295082
1,8,4,16,75,25,64,1024,3,161.4575
1,4,4,8,25,75,64,1024,3,11.8943333333
1,10,4,4,10,90,64,1024,3,5.5304918033
1,8,1,2,50,50,64,1024,3,24.7508333333
1,4,2,8,100,0,64,1024,3,287.6281666667
1,8,1,2,75,25,64,1024,3,54.6911666667
1,8,1,1,25,75,64,1024,3,6.0923333333
1,6,1,8,75,25,64,1024,0,89.3221311475
1,6,1,8,50,50,64,1024,2,20.7745
1,10,2,2,50,50,64,1024,3,29.4725
1,4,1,1,100,0,64,1024,3,34.5218333333
1,4,2,8,90,10,64,1024,3,145.4926666667
1,6,1,2,90,10,64,1024,3,76.257
1,6,4,32,75,25,64,1024,2,61.7139344262
1,6,4,32,75,25,64,1024,3,151.1714754098
1,6,4,32,75,25,64,1024,0,142.0544262295
1,6,4,32,75,25,64,1024,1,73.446557377
1,10,2,2,90,10,64,1024,3,119.107
1,8,2,2,90,10,64,1024,3,104.3796666667
1,6,1,1,10,90,64,1024,3,2.6595
1,6,1,8,10,90,64,1024,0,4.5686885246
1,6,1,8,10,90,64,1024,1,2.662295082
1,6,1,2,25,75,64,1024,3,8.922
1,8,4,32,90,10,64,1024,3,494.3191666667
1,6,1,1,75,25,64,1024,3,24.4823333333
1,6,1,8,10,90,64,1024,3,5.1462295082
1,6,1,4,25,75,64,1024,3,13.0262295082
1,6,4,8,75,25,64,1024,3,104.6547540984
1,4,4,32,75,25,64,1024,0,79.7463934426
1,10,1,8,10,90,64,1024,1,3.8203278689
1,10,1,8,10,90,64,1024,2,4.0008333333
1,8,4,8,25,75,64,1024,3,17.1356666667
1,10,4,4,50,50,64,1024,3,44.197
1,6,2,8,25,75,64,1024,3,12.6206557377
1,8,4,8,75,25,64,1024,3,129.323442623
1,10,4,16,10,90,64,1024,3,8.3818032787
1,6,2,16,75,25,64,1024,2,55.4396666667
1,6,2,16,75,25,64,1024,3,129.0570491803
1,6,2,16,75,25,64,1024,0,125.33
1,6,2,16,75,25,64,1024,1,61.1033333333
1,6,4,16,10,90,64,1024,3,5.4543333333
1,6,1,2,100,0,64,1024,3,90.2763333333
1,10,1,8,50,50,64,1024,0,50.0681967213
1,10,1,8,50,50,64,1024,1,31.2423333333
1,10,1,8,50,50,64,1024,2,32.3680327869
1,10,1,8,50,50,64,1024,3,60.1952459016
1,4,1,8,10,90,64,1024,2,2.229
1,4,1,8,10,90,64,1024,3,6.122295082
1,4,1,8,10,90,64,1024,1,1.722
1,6,1,1,100,0,64,1024,3,35.123
1,6,1,4,90,10,64,1024,3,126.2778333333
1,8,1,1,90,10,64,1024,3,36.2796666667
1,6,2,16,100,0,64,1024,1,150.185
1,4,1,4,90,10,64,1024,3,87.3035
1,10,1,8,90,10,64,1024,1,94.9166666667
1,8,2,2,75,25,64,1024,3,59.131
1,6,2,16,90,10,64,1024,0,254.5913333333
1,4,4,32,10,90,64,1024,1,2.8616393443
1,4,4,32,10,90,64,1024,0,4.106
1,4,4,32,10,90,64,1024,3,3.8637704918
1,4,4,32,10,90,64,1024,2,1.9960655738
1,8,1,2,100,0,64,1024,3,92.7061666667
1,8,2,2,100,0,64,1024,3,140.4158333333
1,6,1,4,50,50,64,1024,3,30.9375409836
1,6,1,2,50,50,64,1024,3,22.2023333333
1,6,4,8,10,90,64,1024,3,4.7993333333
1,8,1,8,90,10,64,1024,2,86.5111666667
1,8,1,8,90,10,64,1024,3,192.035
1,8,1,8,90,10,64,1024,0,165.6495081967
1,8,1,8,90,10,64,1024,1,86.6188333333
1,10,1,1,10,90,64,1024,3,2.4076666667
1,8,4,4,90,10,64,1024,3,189.6
1,8,2,4,75,25,64,1024,3,91.4256666667
1,8,1,8,10,90,64,1024,2,3.2293442623
1,8,1,8,10,90,64,1024,3,7.7347540984
1,8,1,8,10,90,64,1024,0,5.8766666667
1,8,1,8,10,90,64,1024,1,3.0955
1,4,2,2,25,75,64,1024,3,7.3362295082
1,8,2,8,75,25,64,1024,3,128.0414754098
1,6,1,2,75,25,64,1024,3,47.7943333333
1,4,2,2,75,25,64,1024,3,38.0290163934
1,4,1,1,50,50,64,1024,3,12.24
1,4,2,4,10,90,64,1024,3,6.9505
1,4,1,1,10,90,64,1024,3,3.1845901639
1,4,1,2,90,10,64,1024,3,57.7881666667
1,8,2,16,75,25,64,1024,0,145.5298360656
1,8,2,16,75,25,64,1024,1,76.2367213115
1,8,2,16,75,25,64,1024,2,76.9468852459
1,8,2,16,75,25,64,1024,3,158.4538333333
1,4,4,8,90,10,64,1024,3,154.2503333333
1,10,1,8,75,25,64,1024,1,63.4721666667
1,10,1,8,75,25,64,1024,3,124.3291666667
1,10,1,8,75,25,64,1024,2,65.0055
1,8,4,8,100,0,64,1024,3,571.3753333333
1,4,2,16,75,25,64,1024,0,69.4954098361
1,4,2,16,75,25,64,1024,1,35.958852459
1,4,2,16,75,25,64,1024,2,35.5535
1,4,2,16,75,25,64,1024,3,80.0931666667
1,4,2,8,50,50,64,1024,3,26.9218333333
1,10,4,32,90,10,64,1024,3,551.3457377049
1,10,4,32,90,10,64,1024,1,249.9413333333
1,10,4,32,90,10,64,1024,0,513.3260655738
1,6,2,4,75,25,64,1024,3,80.6545
1,10,2,8,90,10,64,1024,3,270.9381666667
1,6,4,32,90,10,64,1024,3,406.7024590164
1,6,4,32,90,10,64,1024,2,129.4516666667
1,6,4,32,90,10,64,1024,1,150.7516393443
1,6,4,32,90,10,64,1024,0,365.2363934426
1,8,4,4,75,25,64,1024,3,100.0036065574
1,10,1,2,100,0,64,1024,3,99.2756666667
1,6,2,8,10,90,64,1024,3,5.0521666667
1,10,4,32,10,90,64,1024,3,9.8665
1,10,4,32,10,90,64,1024,2,4.9731147541
1,10,4,32,10,90,64,1024,1,5.0003278689
1,10,4,32,10,90,64,1024,0,7.2940983607
1,8,2,4,10,90,64,1024,3,4.907
1,8,4,4,100,0,64,1024,3,317.3655
1,8,4,8,50,50,64,1024,3,50.5163934426
1,10,2,2,75,25,64,1024,3,65.0586666667
1,8,4,32,50,50,64,1024,1,37.8721311475
1,8,4,32,50,50,64,1024,0,62.8996666667
1,8,4,32,50,50,64,1024,3,66.2101666667
1,8,4,32,50,50,64,1024,2,33.9424590164
1,6,2,8,75,25,64,1024,3,107.714
1,4,2,16,25,75,64,1024,2,6.06
1,4,2,16,25,75,64,1024,3,12.0173770492
1,4,2,16,25,75,64,1024,0,8.3303278689
1,4,2,16,25,75,64,1024,1,6.6855737705
1,10,4,8,10,90,64,1024,3,6.8435
1,8,2,8,50,50,64,1024,3,51.834
1,6,4,32,10,90,64,1024,3,7.7742622951
1,6,4,32,10,90,64,1024,2,2.8331147541
1,6,4,32,10,90,64,1024,1,3.3651666667
1,6,4,32,10,90,64,1024,0,6.148852459
1,6,4,4,25,75,64,1024,3,12.8533333333
1,4,4,4,50,50,64,1024,3,25.1588333333
1,8,2,8,100,0,64,1024,3,384.0776666667
1,6,4,16,90,10,64,1024,3,324.9642622951
1,4,4,16,10,90,64,1024,3,4.653
1,8,4,32,90,10,64,1024,1,209.8981967213
1,8,4,32,90,10,64,1024,0,445.6080327869
1,6,1,8,10,90,64,1024,2,4.3655
1,10,1,4,50,50,64,1024,3,42.975
1,10,1,2,90,10,64,1024,3,90.2025
1,6,2,16,90,10,64,1024,3,282.8461666667
1,6,2,16,90,10,64,1024,2,102.362
1,6,2,16,90,10,64,1024,1,108.0472131148
1,4,2,2,100,0,64,1024,3,95.8788333333
1,10,4,16,90,10,64,1024,3,432.5043333333
1,8,1,4,50,50,64,1024,3,37.7871666667
1,10,1,8,100,0,64,1024,3,220.11
1,10,1,8,100,0,64,1024,2,97.0765
1,10,1,8,100,0,64,1024,1,97.8098333333
1,10,1,8,100,0,64,1024,0,210.6801666667
1,6,2,8,50,50,64,1024,3,39.4316393443
1,10,1,8,75,25,64,1024,0,112.488
1,6,4,4,50,50,64,1024,3,33.6015
1,4,4,32,50,50,64,1024,2,15.2368852459
1,4,1,2,25,75,64,1024,3,6.1201666667
1,6,4,4,75,25,64,1024,3,81.7211666667
1,8,4,32,100,0,64,1024,2,270.4131666667
1,8,4,32,100,0,64,1024,3,875.063
1,8,4,32,100,0,64,1024,0,866.9051666667
1,8,4,32,100,0,64,1024,1,356.0048333333
1,8,2,16,10,90,64,1024,1,4.0391803279
1,8,2,16,10,90,64,1024,0,7.4078688525
1,8,2,16,10,90,64,1024,3,10.2446666667
1,8,2,16,10,90,64,1024,2,4.8473333333
1,8,2,4,25,75,64,1024,3,14.4081666667
1,4,1,2,75,25,64,1024,3,35.1286885246
1,4,2,2,50,50,64,1024,3,18.6528333333
1,10,1,1,90,10,64,1024,3,37.6483333333
1,10,2,8,100,0,64,1024,3,380.2603333333
1,4,4,16,90,10,64,1024,3,194.9403278689
1,10,4,32,90,10,64,1024,2,258.7808196721
1,6,1,8,90,10,64,1024,0,147.8940983607
1,6,1,8,90,10,64,1024,1,68.2185
1,6,1,8,90,10,64,1024,2,73.8548333333
1,6,1,8,90,10,64,1024,3,166.062295082
1,4,1,4,100,0,64,1024,3,122.7115
1,4,2,8,75,25,64,1024,3,75.6126666667
1,8,1,1,75,25,64,1024,3,26.6816666667
1,8,4,32,75,25,64,1024,0,174.4037704918
1,8,4,32,75,25,64,1024,1,95.9285245902
1,8,4,32,75,25,64,1024,2,90.6706557377
1,10,1,8,10,90,64,1024,0,6.6761666667
1,4,1,4,75,25,64,1024,3,51.2246666667
1,8,4,4,50,50,64,1024,3,38.2360655738
1,10,2,8,50,50,64,1024,3,58.0055737705
1,8,2,8,90,10,64,1024,3,257.4526229508
1,6,1,1,90,10,64,1024,3,32.9938333333
1,10,4,16,75,25,64,1024,3,193.1511666667
1,6,2,2,25,75,64,1024,3,8.676557377
1,4,2,4,75,25,64,1024,3,54.506
1,10,4,4,25,75,64,1024,3,16.1855737705
1,10,1,2,25,75,64,1024,3,11.3186666667
1,10,1,8,10,90,64,1024,3,8.3671666667
1,4,1,8,75,25,64,1024,3,64.8749180328
1,4,1,8,75,25,64,1024,2,31.923
1,4,1,8,75,25,64,1024,1,32.8786666667
1,4,1,8,75,25,64,1024,0,53.1006557377
1,10,4,16,100,0,64,1024,3,733.7251666667
1,6,4,8,25,75,64,1024,3,14.4558333333
1,6,4,16,25,75,64,1024,3,16.0908196721
1,10,1,8,90,10,64,1024,0,187.7335
1,10,1,2,10,90,64,1024,3,5.0915
1,10,1,8,90,10,64,1024,2,95.2953333333
1,10,1,8,90,10,64,1024,3,204.3965
1,4,1,1,25,75,64,1024,3,5.508
1,10,2,4,90,10,64,1024,3,188.2323333333
1,10,1,1,25,75,64,1024,3,6.7516666667
1,8,4,32,90,10,64,1024,2,181.6870491803
1,6,2,2,50,50,64,1024,3,21.2175
1,6,4,4,100,0,64,1024,3,296.9066666667
1,10,4,8,75,25,64,1024,3,148.2731147541
1,6,4,16,50,50,64,1024,3,49.0906557377
1,6,2,2,75,25,64,1024,3,53.5105
1,4,2,4,100,0,64,1024,3,168.867
1,8,2,2,25,75,64,1024,3,10.8978333333
1,10,4,8,100,0,64,1024,3,507.7205
1,10,4,32,75,25,64,1024,2,120.3593442623
1,10,1,4,10,90,64,1024,3,5.8605
1,6,2,4,90,10,64,1024,3,152.1848333333
1,4,2,8,10,90,64,1024,3,4.3681666667
1,10,2,4,75,25,64,1024,3,99.0581967213
1,8,1,1,100,0,64,1024,3,38.8751666667
1,4,1,1,90,10,64,1024,3,29.8483333333
1,6,1,4,75,25,64,1024,3,73.9881666667
1,10,2,8,75,25,64,1024,3,142.916
1,10,4,8,25,75,64,1024,3,19.7026666667
1,10,2,2,100,0,64,1024,3,172.898
1,10,1,2,75,25,64,1024,3,59.7975
1,6,2,16,50,50,64,1024,3,43.6514754098
1,6,2,16,50,50,64,1024,2,23.5513114754
1,6,2,16,50,50,64,1024,1,24.6093442623
1,6,2,16,50,50,64,1024,0,44.8128333333
1,4,4,4,25,75,64,1024,3,10.0701639344
1,10,2,16,25,75,64,1024,0,21.7014754098
1,10,2,16,25,75,64,1024,1,13.7662295082
1,10,2,16,25,75,64,1024,2,13.2804918033
1,10,2,16,25,75,64,1024,3,24.3035
1,4,2,4,50,50,64,1024,3,24.558
1,6,1,2,10,90,64,1024,3,3.5704918033
1,10,2,4,100,0,64,1024,3,286.5026666667
1,6,4,32,100,0,64,1024,0,853.4471666667
1,6,4,32,100,0,64,1024,1,223.217
1,6,4,32,100,0,64,1024,2,179.9095
1,6,4,32,100,0,64,1024,3,834.971
1,8,2,16,90,10,64,1024,1,137.5421666667
1,8,2,16,90,10,64,1024,0,310.2733333333
1,8,2,16,90,10,64,1024,3,334.0463333333
1,8,2,16,90,10,64,1024,2,137.1081666667
1,10,4,4,100,0,64,1024,3,290.4803333333
1,6,2,16,25,75,64,1024,0,16.126
1,6,2,16,25,75,64,1024,1,8.5113114754
1,6,2,16,25,75,64,1024,2,7.7693442623
1,6,2,16,25,75,64,1024,3,15.1485
1,8,2,16,25,75,64,1024,1,11.5401639344
1,10,1,2,50,50,64,1024,3,29.7765
1,10,4,8,90,10,64,1024,3,296.9955737705
1,8,1,1,10,90,64,1024,3,2.1745
1,8,4,16,100,0,64,1024,3,769.2278333333
1,4,1,2,10,90,64,1024,3,2.8973333333
1,6,4,16,100,0,64,1024,3,704.7148333333
1,6,2,8,100,0,64,1024,3,378.062
1,4,4,32,90,10,64,1024,1,95.2872131148
1,4,4,32,90,10,64,1024,0,215.6711666667
1,4,4,32,90,10,64,1024,3,228.92
1,4,4,32,90,10,64,1024,2,74.3142622951
1,4,4,16,25,75,64,1024,3,11.864
1,8,2,2,50,50,64,1024,3,26.2146666667
1,6,1,8,25,75,64,1024,3,15.1533333333
1,6,1,8,25,75,64,1024,2,7.0315
1,6,1,8,25,75,64,1024,1,7.4421666667
1,6,1,8,25,75,64,1024,0,12.9721666667
1,4,4,32,25,75,64,1024,2,5.4581967213
1,4,4,32,25,75,64,1024,3,11.294
1,4,4,32,25,75,64,1024,0,11.867704918
1,4,4,32,25,75,64,1024,1,7.0968852459
1,6,2,2,100,0,64,1024,3,132.7556666667
1,10,2,16,10,90,64,1024,3,7.7013333333
1,10,2,2,25,75,64,1024,3,11.457704918
1,10,2,16,10,90,64,1024,1,4.4324590164
1,10,2,16,10,90,64,1024,0,7.427704918
1,8,4,16,50,50,64,1024,3,58.04
1,10,2,16,75,25,64,1024,2,101.1671666667
1,8,2,2,10,90,64,1024,3,4.3326229508
1,10,2,16,75,25,64,1024,0,166.6093442623
1,10,2,16,75,25,64,1024,1,97.0549180328
1,8,4,4,25,75,64,1024,3,15.319
1,8,1,8,25,75,64,1024,1,8.9486666667
1,8,1,8,25,75,64,1024,0,16.4431666667
1,8,1,8,25,75,64,1024,3,20.7545901639
1,8,1,8,25,75,64,1024,2,8.5396721311
1,4,2,8,25,75,64,1024,3,9.5867213115
1,8,1,1,50,50,64,1024,3,13.741
1,10,2,2,10,90,64,1024,3,3.7261666667
1,10,4,32,25,75,64,1024,2,14.8283606557
1,6,2,16,100,0,64,1024,0,429.6275
1,4,2,16,50,50,64,1024,0,27.1704918033
1,4,2,16,50,50,64,1024,3,29.0450819672
1,4,2,16,50,50,64,1024,2,14.7611666667
1,10,2,4,25,75,64,1024,3,15.9625
1,4,4,32,100,0,64,1024,2,109.257704918
1,4,4,32,100,0,64,1024,3,592.3808333333
1,4,4,32,100,0,64,1024,0,491.843
1,4,4,32,100,0,64,1024,1,119.521
1,4,4,8,50,50,64,1024,3,28.0576666667
1,10,1,4,100,0,64,1024,3,188.5808333333
1,4,4,16,50,50,64,1024,3,31.7872131148
1,6,1,8,50,50,64,1024,0,31.4524590164
1,6,1,8,50,50,64,1024,1,18.7416666667
1,10,1,4,75,25,64,1024,3,95.659
1,6,1,8,50,50,64,1024,3,38.1744262295
1,6,4,32,25,75,64,1024,0,16.4553333333
1,6,4,32,25,75,64,1024,1,8.8696721311
1,6,4,32,25,75,64,1024,2,8.7021311475
1,6,4,32,25,75,64,1024,3,16.6265
1,6,2,4,50,50,64,1024,3,33.8280327869
1,6,1,1,50,50,64,1024,3,12.4073333333
1,8,4,32,10,90,64,1024,1,4.4080327869
1,8,4,32,10,90,64,1024,0,6.7991803279
1,8,4,32,10,90,64,1024,3,7.777704918
1,8,4,32,10,90,64,1024,2,3.8924590164
1,4,1,8,10,90,64,1024,0,2.988852459
1,8,4,32,75,25,64,1024,3,187.9235
1,8,1,4,75,25,64,1024,3,84.4373333333
1,4,4,4,75,25,64,1024,3,58.1332786885
1,8,4,32,25,75,64,1024,2,12.0680327869
1,8,4,32,25,75,64,1024,3,23.0090322581
1,8,4,32,25,75,64,1024,0,20.5755
1,8,4,32,25,75,64,1024,1,13.1090163934
1,4,1,8,50,50,64,1024,2,13.9603278689
1,4,1,8,50,50,64,1024,3,26.254
1,4,1,8,50,50,64,1024,0,24.0961666667
1,4,1,8,50,50,64,1024,1,13.2049180328
1,4,4,4,10,90,64,1024,3,4.6096666667
1,4,2,4,90,10,64,1024,3,98.6546666667
1,6,1,4,100,0,64,1024,3,177.458
1,8,1,4,100,0,64,1024,3,175.2766666667
1,10,4,8,50,50,64,1024,3,59.73
1,10,4,4,75,25,64,1024,3,99.4083333333
1,10,2,16,90,10,64,1024,3,366.0141666667
1,10,2,16,90,10,64,1024,2,169.0106666667
1,10,2,16,90,10,64,1024,1,170.5668852459
1,10,2,16,90,10,64,1024,0,328.1913114754
1,6,2,4,25,75,64,1024,3,11.7573333333
1,4,4,32,50,50,64,1024,1,19.5493442623
1,4,4,32,50,50,64,1024,0,31.9698333333
1,4,4,32,50,50,64,1024,3,31.6318032787
1,8,1,2,10,90,64,1024,3,4.5649180328
1,8,1,4,25,75,64,1024,3,13.965
1,4,1,4,10,90,64,1024,3,2.7204918033
1,8,1,2,25,75,64,1024,3,9.3011666667
1,4,1,2,50,50,64,1024,3,16.8468333333
1,4,1,1,75,25,64,1024,3,21.0416666667
1,6,4,8,100,0,64,1024,3,534.6103333333
1,8,2,8,25,75,64,1024,3,17.0216393443
1,6,1,4,10,90,64,1024,3,4.1176666667
1,10,1,1,100,0,64,1024,3,39.6173333333
1,8,4,16,25,75,64,1024,3,24.0488333333
1,4,4,4,90,10,64,1024,3,107.1288333333
1,8,2,4,100,0,64,1024,3,284.0501666667
1,10,2,16,10,90,64,1024,2,4.4468852459
1,8,4,16,90,10,64,1024,3,400.7625
1,4,4,32,75,25,64,1024,1,47.1783606557
1,4,4,32,75,25,64,1024,2,38.5745901639
1,4,4,32,75,25,64,1024,3,93.5856666667
1,10,4,32,25,75,64,1024,0,25.9321311475
1,10,4,32,25,75,64,1024,1,15.5909836066
1,10,4,32,25,75,64,1024,3,30.03
1,8,1,4,90,10,64,1024,3,144.0586885246
1,4,2,16,100,0,64,1024,2,97.8146666667
1,4,2,16,100,0,64,1024,3,385.22
1,4,2,16,100,0,64,1024,0,266.3285
1,4,2,16,100,0,64,1024,1,99.6245
1,10,2,8,10,90,64,1024,3,7.2976666667
1,8,1,8,100,0,64,1024,1,92.5196721311
1,8,1,8,100,0,64,1024,0,204.959
1,8,1,8,100,0,64,1024,3,218.657
1,8,1,8,100,0,64,1024,2,98.8338333333
1,8,2,4,90,10,64,1024,3,176.9476666667
1,10,2,8,25,75,64,1024,3,19.3372131148
1,10,2,4,10,90,64,1024,3,5.6236065574
