$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-write
1,10,1,4,0,100,16,64,1,55.5366666667
1,4,2,16,50,50,16,128,2,45.8666666667
1,10,2,16,0,100,16,64,1,73.51
1,10,2,16,0,100,16,64,2,81.45375
1,8,2,8,75,25,16,128,1,44.6454166667
1,8,2,8,75,25,16,128,2,53.81375
1,6,2,16,100,0,64,1024,1,0
1,8,2,8,0,100,16,64,2,62.988
1,8,2,8,0,100,16,64,1,67.7770833333
1,8,4,16,75,25,16,128,1,65.805
1,4,4,32,100,0,64,1024,1,0
1,10,2,8,100,0,16,64,1,0
1,10,2,8,100,0,16,64,2,0
1,8,1,8,75,25,16,128,2,35.5858333333
1,10,2,8,100,0,64,1024,1,0
1,8,4,16,0,100,16,64,1,73.325
1,8,4,16,0,100,16,64,2,85.7079166667
1,8,2,16,75,25,16,128,1,55.8008333333
1,8,2,16,75,25,16,128,2,60.9783333333
1,8,4,32,0,100,16,64,2,82.6304166667
1,10,2,16,50,50,16,128,1,70.61625
1,10,4,16,50,50,64,1024,0,1105.9095833333
1,10,1,8,50,50,16,128,2,56.445
1,6,2,16,75,25,16,128,1,55.4345833333
1,10,1,8,25,75,16,128,1,65.4445833333
1,10,4,16,25,75,16,128,1,72.0020833333
1,10,4,32,100,0,64,1024,1,0
1,4,2,8,100,0,16,64,2,0
1,4,2,16,0,100,16,64,1,40.92125
1,10,1,4,75,25,16,128,2,29.3254166667
1,10,1,4,75,25,16,128,1,26.0775
1,8,2,16,100,0,64,1024,1,0
1,6,2,8,0,100,16,64,1,59.8116
1,6,2,8,0,100,16,64,2,59.1264
1,8,4,16,75,25,16,128,2,70.5466666667
1,8,2,16,0,100,16,64,2,74.6491666667
1,10,4,32,25,75,16,128,1,69.272
1,10,4,32,25,75,16,128,2,78.114
1,8,2,16,0,100,16,64,1,70.7845833333
1,8,2,8,25,75,16,128,2,64.882
1,4,2,16,75,25,16,128,1,37.9212
1,4,2,16,75,25,16,128,2,45.28875
1,10,2,8,0,100,16,64,2,67.8275
1,10,4,16,75,25,64,1024,2,617.51125
1,6,2,16,100,0,16,64,1,0
1,6,2,16,100,0,16,64,2,0
1,8,4,16,0,100,64,1024,0,1207.0295833333
1,8,4,16,0,100,64,1024,2,878.5179166667
1,6,2,16,0,100,16,64,2,65.5729166667
1,8,4,32,75,25,16,128,1,68.1596
1,6,4,32,100,0,64,1024,1,0
1,10,2,16,75,25,16,128,2,61.4924
1,10,2,16,75,25,16,128,1,58.755
1,10,1,4,100,0,16,64,2,0
1,10,1,4,100,0,16,64,1,0
1,6,4,16,0,100,16,64,2,65.2225
1,6,4,32,0,100,16,64,1,56.5179166667
1,6,4,32,0,100,16,64,2,63.1056
1,10,4,16,100,0,64,1024,1,0
1,8,1,8,50,50,16,128,1,56.0595833333
1,4,4,32,50,50,16,128,1,39.3836
1,4,1,4,0,100,16,64,1,40.57875
1,6,2,16,25,75,16,128,1,61.4608333333
1,6,2,16,25,75,16,128,2,60.7348
1,10,4,16,75,25,16,128,1,67.7666666667
1,8,4,16,100,0,64,1024,2,0
1,6,2,8,75,25,16,128,1,44.4533333333
1,6,4,32,75,25,16,128,2,64.766
1,10,2,16,50,50,16,128,2,70.8295833333
1,10,2,16,25,75,16,128,1,68.1079166667
1,10,2,16,25,75,16,128,2,75.0395833333
1,8,4,32,0,100,16,64,1,70.2468
1,10,2,8,25,75,16,128,1,65.5258333333
1,10,2,8,25,75,16,128,2,65.0792
1,8,2,8,100,0,16,64,2,0
1,8,2,8,100,0,16,64,1,0
1,8,4,16,100,0,16,64,1,0
1,8,4,16,75,25,64,1024,2,591.14
