$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,6,4,4,10,90,16,4096,0,70.4319444444
1,4,2,8,75,25,16,4096,0,38.3102777778
1,10,4,8,25,75,16,4096,0,74.1002777778
1,30,2,2,75,25,16,4096,0,17.5502777778
1,4,2,2,50,50,16,4096,0,23.9944444444
1,4,1,2,90,10,16,4096,0,6.185
1,4,4,8,10,90,16,4096,0,70.5666666667
1,10,4,4,25,75,16,4096,0,66.7388888889
1,30,1,8,25,75,16,4096,0,75.5133333333
1,6,4,32,75,25,16,4096,0,73.0997222222
1,30,1,2,90,10,16,4096,0,5.7358333333
1,8,2,4,50,50,16,4096,0,59.0475
1,10,4,4,10,90,16,4096,0,69.185
1,4,2,4,75,25,16,4096,0,23.8936111111
1,8,1,8,90,10,16,4096,0,26.8972222222
1,6,1,4,0,100,16,4096,0,73.7263888889
1,30,4,32,10,90,16,4096,0,72.5910810811
1,6,2,8,90,10,16,4096,0,28.4463888889
1,4,1,1,50,50,16,4096,0,14.3177777778
1,20,1,1,100,0,16,4096,0,0
1,8,4,8,75,25,16,4096,0,69.9147222222
1,6,4,16,90,10,16,4096,0,50.7894444444
1,8,4,8,0,100,16,4096,0,76.2727777778
1,30,4,32,75,25,16,4096,0,73.6478378378
1,4,4,8,0,100,16,4096,0,71.025
1,10,4,16,100,0,16,4096,0,0
1,20,2,16,100,0,16,4096,0,0
1,8,2,16,0,100,16,4096,0,80.6894444444
1,10,2,4,90,10,16,4096,0,23.4444444444
1,20,1,8,90,10,16,4096,0,19.6494444444
1,30,1,4,0,100,16,4096,0,68.2027777778
1,30,4,4,90,10,16,4096,0,17.3122222222
1,20,2,16,0,100,16,4096,0,77.0538888889
1,6,1,2,10,90,16,4096,0,44.3233333333
1,20,2,2,90,10,16,4096,0,7.215
1,20,4,4,25,75,16,4096,0,59.5941666667
1,20,2,16,50,50,16,4096,0,72.6708108108
1,6,4,16,75,25,16,4096,0,68.8486111111
1,10,4,16,90,10,16,4096,0,59.7688888889
1,10,1,2,50,50,16,4096,0,31.7355555556
1,10,1,4,10,90,16,4096,0,69.1197222222
1,20,4,8,10,90,16,4096,0,76.3338888889
1,10,2,8,0,100,16,4096,0,78.2916666667
1,4,1,2,100,0,16,4096,0,0
1,30,1,2,100,0,16,4096,0,0
1,10,4,32,0,100,16,4096,0,78.2247222222
1,4,4,32,90,10,16,4096,0,38.7430555556
1,6,2,2,50,50,16,4096,0,30.4311111111
1,6,2,4,100,0,16,4096,0,0
1,4,4,32,0,100,16,4096,0,68.1383783784
1,8,2,2,25,75,16,4096,0,43.0325
1,6,1,1,10,90,16,4096,0,26.7930555556
1,6,2,8,10,90,16,4096,0,73.9041666667
1,30,4,8,90,10,16,4096,0,31.2452777778
1,6,2,2,25,75,16,4096,0,41.0591666667
1,8,1,2,10,90,16,4096,0,46.1522222222
