$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
0.0,0.07692,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.87288
0.0,0.0,0.33333,0.22581,0.75,0.25,0.0,0.0,0.0,0.47479
0.0,0.23077,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.91834
0.0,1.0,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.2175
0.0,0.0,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.29737
0.0,0.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.07665
0.0,0.0,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.87455
0.0,0.23077,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.82711
0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.93585
0.0,0.07692,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.90594
0.0,1.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.07109
0.0,0.15385,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.73179
0.0,0.23077,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.85742
0.0,0.0,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.29612
0.0,0.15385,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.33334
0.0,0.07692,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.91371
0.0,1.0,1.0,1.0,0.1,0.9,0.0,0.0,0.0,0.89964
0.0,0.07692,0.33333,0.22581,0.9,0.1,0.0,0.0,0.0,0.35254
0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.17744
0.0,0.61538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15385,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.86647
0.0,0.07692,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.62944
0.0,0.15385,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.94526
0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.91273
0.0,0.0,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.88023
0.0,0.23077,1.0,0.48387,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.61538,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15385,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.23077,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.29055
0.0,0.61538,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.24352
0.0,1.0,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.84525
