,$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-write
0,0.0,0.33333,1.0,0.09677,0.9,0.1,0.0,0.0,1.0,0.20672
1,0.0,0.33333,0.33333,0.09677,0.1,0.9,0.0,0.0,1.0,0.40531
2,0.0,0.0,1.0,0.22581,0.75,0.25,0.0,0.0,1.0,0.28013
3,0.0,0.66667,0.33333,0.22581,0.0,1.0,0.0,0.0,1.0,0.55975
4,0.0,0.66667,0.33333,0.48387,0.5,0.5,0.0,0.0,0.33333,0.34646
5,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.66666,0.51008
6,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.33333,0.54039
7,0.0,0.66667,0.33333,0.48387,0.5,0.5,0.0,0.0,0.66666,0.32975
8,0.0,1.0,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1.0,0.33333,0.48387,1.0,0.0,0.0,0.0,0.33333,0.0
10,0.0,1.0,0.33333,0.48387,1.0,0.0,0.0,0.0,0.66666,0.0
11,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.33333,0.48798
12,0.0,1.0,0.0,0.03226,0.0,1.0,0.0,0.0,1.0,0.40387
13,0.0,1.0,0.33333,0.48387,0.75,0.25,0.0,0.0,1.0,0.67822
14,0.0,0.0,1.0,0.22581,0.1,0.9,0.0,0.0,1.0,0.34513
15,0.0,0.33333,1.0,0.22581,0.5,0.5,0.0,0.0,1.0,0.48675
16,0.0,0.33333,0.33333,0.48387,0.1,0.9,0.0,0.0,1.0,0.51405
17,0.0,0.33333,0.33333,0.48387,0.1,0.9,0.0,0.0,0.66666,0.26204
18,0.0,0.33333,0.33333,0.48387,0.1,0.9,0.0,0.0,0.33333,0.28248
19,0.0,0.33333,0.33333,0.48387,0.1,0.9,0.0,0.0,0.0,0.52363
20,0.0,0.0,0.0,0.09677,0.25,0.75,0.0,0.0,1.0,0.28143
21,0.0,0.0,1.0,0.22581,1.0,0.0,0.0,0.0,1.0,0.0
22,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,0.33333,0.0
23,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,1.0,0.0
25,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,0.66666,0.0
26,0.0,0.0,1.0,0.48387,0.75,0.25,0.0,0.0,1.0,0.32906
27,0.0,0.33333,0.0,0.22581,0.75,0.25,0.0,0.0,0.33333,0.16761
28,0.0,1.0,1.0,0.48387,0.25,0.75,0.0,0.0,1.0,0.76796
29,0.0,0.33333,0.0,0.22581,0.75,0.25,0.0,0.0,1.0,0.36258
30,0.0,0.33333,0.0,0.22581,0.75,0.25,0.0,0.0,0.66666,0.17551
31,0.0,0.66667,1.0,0.22581,0.1,0.9,0.0,0.0,1.0,0.58824
32,0.0,0.33333,1.0,0.09677,0.1,0.9,0.0,0.0,1.0,0.41115
33,0.0,1.0,0.33333,0.48387,1.0,0.0,0.0,0.0,1.0,0.0
34,0.0,0.66667,1.0,0.22581,0.9,0.1,0.0,0.0,1.0,0.37606
35,0.0,0.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.33333,0.18624
36,0.0,0.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.30835
37,0.0,0.0,0.0,0.22581,0.25,0.75,0.0,0.0,1.0,0.30694
38,0.0,0.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.66666,0.16984
39,0.0,0.33333,1.0,0.22581,0.9,0.1,0.0,0.0,1.0,0.31559
40,0.0,0.0,1.0,0.48387,1.0,0.0,0.0,0.0,1.0,0.0
41,0.0,0.33333,0.0,0.22581,1.0,0.0,0.0,0.0,1.0,0.0
42,0.0,0.33333,0.0,0.22581,1.0,0.0,0.0,0.0,0.66666,0.0
43,0.0,0.33333,0.0,0.22581,1.0,0.0,0.0,0.0,0.33333,0.0
44,0.0,0.33333,0.0,0.22581,1.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.66667,0.0,0.22581,0.5,0.5,0.0,0.0,0.66666,0.28532
46,0.0,0.66667,0.0,0.22581,0.5,0.5,0.0,0.0,1.0,0.56834
47,0.0,0.66667,0.0,0.22581,0.5,0.5,0.0,0.0,0.0,0.46175
48,0.0,0.66667,0.0,0.22581,0.5,0.5,0.0,0.0,0.33333,0.2774
49,0.0,1.0,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.11067
50,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.9333
51,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.17619
52,0.0,0.66667,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.65978
53,0.0,0.66667,0.33333,0.48387,0.5,0.5,0.0,0.0,1.0,0.65196
54,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.85656
55,0.0,1.0,0.33333,0.48387,0.5,0.5,0.0,0.0,1.0,0.75637
56,0.0,1.0,0.33333,0.48387,0.5,0.5,0.0,0.0,0.66666,0.4377
57,0.0,1.0,0.33333,0.48387,0.5,0.5,0.0,0.0,0.33333,0.43151
58,0.0,1.0,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.68437
59,0.0,0.0,0.33333,0.48387,0.9,0.1,0.0,0.0,0.33333,0.09337
60,0.0,0.0,0.33333,0.48387,0.9,0.1,0.0,0.0,0.0,0.18998
61,0.0,0.0,0.33333,0.48387,0.9,0.1,0.0,0.0,1.0,0.22681
62,0.0,0.0,0.33333,0.48387,0.9,0.1,0.0,0.0,0.66666,0.08268
63,0.0,0.0,0.0,0.09677,0.5,0.5,0.0,0.0,1.0,0.2628
64,0.0,0.66667,0.0,0.22581,0.75,0.25,0.0,0.0,1.0,0.41904
65,0.0,0.66667,0.0,0.22581,0.75,0.25,0.0,0.0,0.66666,0.21194
66,0.0,0.66667,0.0,0.22581,0.75,0.25,0.0,0.0,0.33333,0.20262
67,0.0,0.66667,0.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.38195
68,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,1.0,0.90258
69,0.0,0.66667,1.0,0.09677,0.1,0.9,0.0,0.0,1.0,0.49843
70,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.75939
71,0.0,0.0,1.0,0.09677,1.0,0.0,0.0,0.0,1.0,0.0
72,0.0,0.66667,0.0,0.03226,0.9,0.1,0.0,0.0,1.0,0.10222
73,0.0,0.33333,0.0,0.0,0.25,0.75,0.0,0.0,1.0,0.18639
74,0.0,0.33333,0.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.41592
75,0.0,0.33333,0.33333,0.22581,0.9,0.1,0.0,0.0,1.0,0.27696
76,0.0,0.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.66666,0.06712
77,0.0,0.0,0.0,0.22581,0.9,0.1,0.0,0.0,1.0,0.15359
78,0.0,0.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.13647
79,0.0,0.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.33333,0.06785
80,0.0,1.0,1.0,0.48387,0.5,0.5,0.0,0.0,1.0,0.75424
81,0.0,0.33333,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.59857
82,0.0,0.33333,1.0,1.0,0.5,0.5,0.0,0.0,0.66666,0.28749
83,0.0,0.33333,1.0,1.0,0.5,0.5,0.0,0.0,0.33333,0.29115
84,0.0,0.33333,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.55104
85,0.0,0.0,0.0,0.03226,1.0,0.0,0.0,0.0,1.0,0.0
86,0.0,0.33333,0.33333,0.03226,0.9,0.1,0.0,0.0,1.0,0.11648
87,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
88,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.33333,0.0
