,$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-read
0,0.0,0.33333,1.0,0.09677,0.9,0.1,0.0,0.0,1.0,0.18885
1,0.0,0.33333,0.33333,0.09677,0.1,0.9,0.0,0.0,1.0,0.00537
2,0.0,0.0,1.0,0.22581,0.75,0.25,0.0,0.0,1.0,0.08336
3,0.0,0.66667,0.33333,0.22581,0.0,1.0,0.0,0.0,1.0,0.0
4,0.0,0.66667,0.33333,0.48387,0.5,0.5,0.0,0.0,0.33333,0.03497
5,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.66666,0.05113
6,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.33333,0.05558
7,0.0,0.66667,0.33333,0.48387,0.5,0.5,0.0,0.0,0.66666,0.03324
8,0.0,1.0,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.50054
9,0.0,1.0,0.33333,0.48387,1.0,0.0,0.0,0.0,0.33333,0.18581
10,0.0,1.0,0.33333,0.48387,1.0,0.0,0.0,0.0,0.66666,0.21307
11,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.33333,0.1448
12,0.0,1.0,0.0,0.03226,0.0,1.0,0.0,0.0,1.0,0.0
13,0.0,1.0,0.33333,0.48387,0.75,0.25,0.0,0.0,1.0,0.20878
14,0.0,0.0,1.0,0.22581,0.1,0.9,0.0,0.0,1.0,0.00555
15,0.0,0.33333,1.0,0.22581,0.5,0.5,0.0,0.0,1.0,0.04902
16,0.0,0.33333,0.33333,0.48387,0.1,0.9,0.0,0.0,1.0,0.00546
17,0.0,0.33333,0.33333,0.48387,0.1,0.9,0.0,0.0,0.66666,0.00287
18,0.0,0.33333,0.33333,0.48387,0.1,0.9,0.0,0.0,0.33333,0.00316
19,0.0,0.33333,0.33333,0.48387,0.1,0.9,0.0,0.0,0.0,0.00595
20,0.0,0.0,0.0,0.09677,0.25,0.75,0.0,0.0,1.0,0.01042
21,0.0,0.0,1.0,0.22581,1.0,0.0,0.0,0.0,1.0,0.39347
22,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,0.33333,0.08395
23,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,0.0,0.17791
24,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,1.0,0.21999
25,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,0.66666,0.08982
26,0.0,0.0,1.0,0.48387,0.75,0.25,0.0,0.0,1.0,0.09742
27,0.0,0.33333,0.0,0.22581,0.75,0.25,0.0,0.0,0.33333,0.04923
28,0.0,1.0,1.0,0.48387,0.25,0.75,0.0,0.0,1.0,0.02625
29,0.0,0.33333,0.0,0.22581,0.75,0.25,0.0,0.0,1.0,0.11042
30,0.0,0.33333,0.0,0.22581,0.75,0.25,0.0,0.0,0.66666,0.05364
31,0.0,0.66667,1.0,0.22581,0.1,0.9,0.0,0.0,1.0,0.00665
32,0.0,0.33333,1.0,0.09677,0.1,0.9,0.0,0.0,1.0,0.00743
33,0.0,1.0,0.33333,0.48387,1.0,0.0,0.0,0.0,1.0,0.498
34,0.0,0.66667,1.0,0.22581,0.9,0.1,0.0,0.0,1.0,0.34669
35,0.0,0.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.33333,0.00681
36,0.0,0.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.01014
37,0.0,0.0,0.0,0.22581,0.25,0.75,0.0,0.0,1.0,0.01068
38,0.0,0.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.66666,0.00596
39,0.0,0.33333,1.0,0.22581,0.9,0.1,0.0,0.0,1.0,0.28089
40,0.0,0.0,1.0,0.48387,1.0,0.0,0.0,0.0,1.0,0.60423
41,0.0,0.33333,0.0,0.22581,1.0,0.0,0.0,0.0,1.0,0.24723
42,0.0,0.33333,0.0,0.22581,1.0,0.0,0.0,0.0,0.66666,0.10692
43,0.0,0.33333,0.0,0.22581,1.0,0.0,0.0,0.0,0.33333,0.0998
44,0.0,0.33333,0.0,0.22581,1.0,0.0,0.0,0.0,0.0,0.21939
45,0.0,0.66667,0.0,0.22581,0.5,0.5,0.0,0.0,0.66666,0.02866
46,0.0,0.66667,0.0,0.22581,0.5,0.5,0.0,0.0,1.0,0.05711
47,0.0,0.66667,0.0,0.22581,0.5,0.5,0.0,0.0,0.0,0.0468
48,0.0,0.66667,0.0,0.22581,0.5,0.5,0.0,0.0,0.33333,0.02826
49,0.0,1.0,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.03327
50,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.09516
51,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.01744
52,0.0,0.66667,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.06627
53,0.0,0.66667,0.33333,0.48387,0.5,0.5,0.0,0.0,1.0,0.06588
54,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.08572
55,0.0,1.0,0.33333,0.48387,0.5,0.5,0.0,0.0,1.0,0.07644
56,0.0,1.0,0.33333,0.48387,0.5,0.5,0.0,0.0,0.66666,0.0441
57,0.0,1.0,0.33333,0.48387,0.5,0.5,0.0,0.0,0.33333,0.0432
58,0.0,1.0,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.06978
59,0.0,0.0,0.33333,0.48387,0.9,0.1,0.0,0.0,0.33333,0.08483
60,0.0,0.0,0.33333,0.48387,0.9,0.1,0.0,0.0,0.0,0.17174
61,0.0,0.0,0.33333,0.48387,0.9,0.1,0.0,0.0,1.0,0.20716
62,0.0,0.0,0.33333,0.48387,0.9,0.1,0.0,0.0,0.66666,0.07439
63,0.0,0.0,0.0,0.09677,0.5,0.5,0.0,0.0,1.0,0.02698
64,0.0,0.66667,0.0,0.22581,0.75,0.25,0.0,0.0,1.0,0.12709
65,0.0,0.66667,0.0,0.22581,0.75,0.25,0.0,0.0,0.66666,0.06312
66,0.0,0.66667,0.0,0.22581,0.75,0.25,0.0,0.0,0.33333,0.06232
67,0.0,0.66667,0.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.11423
68,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,1.0,0.27389
69,0.0,0.66667,1.0,0.09677,0.1,0.9,0.0,0.0,1.0,0.00537
70,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.2321
71,0.0,0.0,1.0,0.09677,1.0,0.0,0.0,0.0,1.0,0.21323
72,0.0,0.66667,0.0,0.03226,0.9,0.1,0.0,0.0,1.0,0.0928
73,0.0,0.33333,0.0,0.0,0.25,0.75,0.0,0.0,1.0,0.00658
74,0.0,0.33333,0.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
75,0.0,0.33333,0.33333,0.22581,0.9,0.1,0.0,0.0,1.0,0.25654
76,0.0,0.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.66666,0.06353
77,0.0,0.0,0.0,0.22581,0.9,0.1,0.0,0.0,1.0,0.13618
78,0.0,0.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.12036
79,0.0,0.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.33333,0.06119
80,0.0,1.0,1.0,0.48387,0.5,0.5,0.0,0.0,1.0,0.0766
81,0.0,0.33333,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.06118
82,0.0,0.33333,1.0,1.0,0.5,0.5,0.0,0.0,0.66666,0.02946
83,0.0,0.33333,1.0,1.0,0.5,0.5,0.0,0.0,0.33333,0.0291
84,0.0,0.33333,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.05583
85,0.0,0.0,0.0,0.03226,1.0,0.0,0.0,0.0,1.0,0.08642
86,0.0,0.33333,0.33333,0.03226,0.9,0.1,0.0,0.0,1.0,0.10386
87,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.99474
88,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.33333,0.38332
89,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.66666,0.41043
90,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.99482
91,0.0,0.66667,0.33333,0.48387,1.0,0.0,0.0,0.0,0.66666,0.21171
92,0.0,0.66667,0.33333,0.48387,1.0,0.0,0.0,0.0,1.0,0.49864
93,0.0,0.66667,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.49668
94,0.0,0.66667,0.33333,0.48387,1.0,0.0,0.0,0.0,0.33333,0.18366
95,0.0,0.0,0.33333,0.48387,0.5,0.5,0.0,0.0,0.33333,0.01767
96,0.0,0.0,0.33333,0.48387,0.1,0.9,0.0,0.0,0.33333,0.00339
97,0.0,0.0,0.33333,0.48387,0.1,0.9,0.0,0.0,0.0,0.00342
98,0.0,0.0,0.33333,0.48387,0.1,0.9,0.0,0.0,1.0,0.00577
99,0.0,0.0,0.33333,0.48387,0.1,0.9,0.0,0.0,0.66666,0.00339
100,0.0,0.33333,0.33333,0.48387,1.0,0.0,0.0,0.0,0.66666,0.16195
101,0.0,0.33333,0.33333,0.48387,1.0,0.0,0.0,0.0,1.0,0.50116
102,0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,1.0,0.02589
103,0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.66666,0.01344
104,0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.33333,0.01226
105,0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.01982
106,0.0,0.66667,1.0,0.48387,0.0,1.0,0.0,0.0,1.0,0.0
107,0.0,0.66667,1.0,0.48387,0.1,0.9,0.0,0.0,1.0,0.00892
108,0.0,0.66667,0.33333,0.22581,0.1,0.9,0.0,0.0,1.0,0.00833
109,0.0,0.33333,0.33333,0.09677,1.0,0.0,0.0,0.0,1.0,0.30653
110,0.0,1.0,0.33333,0.03226,0.0,1.0,0.0,0.0,1.0,0.0
111,0.0,0.0,0.33333,0.03226,0.1,0.9,0.0,0.0,1.0,0.00606
112,0.0,0.66667,0.33333,0.48387,0.25,0.75,0.0,0.0,0.66666,0.01216
113,0.0,0.66667,0.33333,0.48387,0.25,0.75,0.0,0.0,1.0,0.02111
114,0.0,0.66667,0.33333,0.48387,0.25,0.75,0.0,0.0,0.0,0.02351
115,0.0,1.0,0.0,0.09677,0.9,0.1,0.0,0.0,1.0,0.17965
116,0.0,0.33333,0.33333,0.03226,0.1,0.9,0.0,0.0,1.0,0.00392
117,0.0,0.0,0.33333,0.03226,0.9,0.1,0.0,0.0,1.0,0.07476
118,0.0,0.66667,0.0,0.09677,0.1,0.9,0.0,0.0,1.0,0.0058
119,0.0,1.0,0.0,0.09677,0.25,0.75,0.0,0.0,1.0,0.01937
120,0.0,1.0,0.33333,0.09677,0.0,1.0,0.0,0.0,1.0,0.0
