,$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
0,0.0,0.07692,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.11747
1,0.0,0.0,0.33333,0.22581,0.75,0.25,0.0,0.0,0.0,0.12758
2,0.0,0.23077,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.21889
3,0.0,1.0,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.07633
4,0.0,0.0,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.07811
5,0.0,0.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.06371
6,0.0,0.0,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.23289
7,0.0,0.23077,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.11931
8,0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.20485
9,0.0,0.07692,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.57716
10,0.0,1.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.07777
11,0.0,0.15385,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.10844
12,0.0,0.23077,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.12186
13,0.0,0.0,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.09285
14,0.0,0.15385,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.09672
15,0.0,0.07692,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.11628
16,0.0,1.0,1.0,1.0,0.1,0.9,0.0,0.0,0.0,0.922
17,0.0,0.07692,0.33333,0.22581,0.9,0.1,0.0,0.0,0.0,0.11693
18,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.06615
19,0.0,0.61538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.15385,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.14957
21,0.0,0.07692,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.17433
22,0.0,0.15385,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.23035
23,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.73442
24,0.0,0.0,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.2486
25,0.0,0.23077,1.0,0.48387,1.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.61538,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.15385,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.44442
28,0.0,0.23077,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.07723
29,0.0,0.61538,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.09083
30,0.0,1.0,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.12954
31,0.0,1.0,1.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.08399
32,0.0,0.61538,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.44868
33,0.0,0.07692,0.0,0.03226,0.1,0.9,0.0,0.0,0.0,0.08626
34,0.0,0.61538,0.33333,0.03226,0.9,0.1,0.0,0.0,0.0,0.07565
35,0.0,0.61538,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.12489
36,0.0,0.61538,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.39013
37,0.0,0.07692,1.0,0.48387,0.75,0.25,0.0,0.0,0.0,0.31507
38,0.0,0.23077,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.19716
39,0.0,0.23077,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.07855
40,0.0,0.23077,0.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.12229
41,0.0,0.61538,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.21702
42,0.0,0.23077,0.33333,0.22581,0.0,1.0,0.0,0.0,0.0,0.22667
43,0.0,0.0,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.0
44,0.0,1.0,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.23077,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.88898
46,0.0,0.0,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.2937
47,0.0,0.07692,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.08174
48,0.0,0.07692,0.33333,0.09677,1.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
50,0.0,0.15385,0.33333,0.03226,0.25,0.75,0.0,0.0,0.0,0.0849
51,0.0,0.07692,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.07091
52,0.0,0.07692,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.21849
