,$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
0,0.0,0.07692,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00673
1,0.0,0.0,0.33333,0.22581,0.75,0.25,0.0,0.0,0.0,0.10152
2,0.0,0.23077,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02116
3,0.0,1.0,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.0449
4,0.0,0.0,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.02181
5,0.0,0.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.0462
6,0.0,0.0,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.00666
7,0.0,0.23077,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.01984
8,0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02173
9,0.0,0.07692,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.19418
10,0.0,1.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.04513
11,0.0,0.15385,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.05212
12,0.0,0.23077,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00661
13,0.0,0.0,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.06309
14,0.0,0.15385,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.21889
15,0.0,0.07692,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
16,0.0,1.0,1.0,1.0,0.1,0.9,0.0,0.0,0.0,0.0069
17,0.0,0.07692,0.33333,0.22581,0.9,0.1,0.0,0.0,0.0,0.22666
18,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.01279
19,0.0,0.61538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01325
20,0.0,0.15385,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.18539
21,0.0,0.07692,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.40713
22,0.0,0.15385,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
23,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.19694
24,0.0,0.0,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
25,0.0,0.23077,1.0,0.48387,1.0,0.0,0.0,0.0,0.0,0.75603
26,0.0,0.61538,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.3407
27,0.0,0.15385,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
28,0.0,0.23077,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.1872
29,0.0,0.61538,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.15535
30,0.0,1.0,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
31,0.0,1.0,1.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.1371
32,0.0,0.61538,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
33,0.0,0.07692,0.0,0.03226,0.1,0.9,0.0,0.0,0.0,0.00446
34,0.0,0.61538,0.33333,0.03226,0.9,0.1,0.0,0.0,0.0,0.05551
35,0.0,0.61538,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.0178
36,0.0,0.61538,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.06534
37,0.0,0.07692,1.0,0.48387,0.75,0.25,0.0,0.0,0.0,0.18684
38,0.0,0.23077,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.48076
39,0.0,0.23077,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.02838
40,0.0,0.23077,0.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00666
41,0.0,0.61538,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.00768
42,0.0,0.23077,0.33333,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.05641
44,0.0,1.0,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.04859
45,0.0,0.23077,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
46,0.0,0.0,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.30645
47,0.0,0.07692,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.02593
48,0.0,0.07692,0.33333,0.09677,1.0,0.0,0.0,0.0,0.0,0.17951
49,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
50,0.0,0.15385,0.33333,0.03226,0.25,0.75,0.0,0.0,0.0,0.01277
51,0.0,0.07692,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.00273
52,0.0,0.07692,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.00773
53,0.0,1.0,1.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.25196
54,0.0,0.07692,0.33333,0.03226,0.25,0.75,0.0,0.0,0.0,0.01164
55,0.0,0.15385,0.0,0.03226,0.1,0.9,0.0,0.0,0.0,0.0046
56,0.0,0.61538,0.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.01616
57,0.0,0.15385,0.33333,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
58,0.0,0.23077,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.17615
59,0.0,0.07692,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.56011
60,0.0,0.07692,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.02348
61,0.0,0.23077,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.11403
62,0.0,0.0,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.00672
63,0.0,0.0,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.01765
64,0.0,0.07692,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.01923
65,0.0,0.61538,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.04265
66,0.0,0.07692,0.33333,0.03226,0.1,0.9,0.0,0.0,0.0,0.00489
67,0.0,0.0,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.01704
68,0.0,0.0,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.02135
69,0.0,0.15385,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.19655
70,0.0,0.61538,0.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.11706
71,0.0,0.23077,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
72,0.0,0.23077,1.0,0.22581,1.0,0.0,0.0,0.0,0.0,0.49111
73,0.0,0.07692,0.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.00744
74,0.0,0.23077,0.33333,0.48387,0.75,0.25,0.0,0.0,0.0,0.20125
75,0.0,0.0,1.0,0.48387,0.1,0.9,0.0,0.0,0.0,0.00664
76,0.0,0.61538,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.00745
77,0.0,0.15385,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.07697
78,0.0,0.0,0.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.08567
79,0.0,0.61538,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6782
80,0.0,0.61538,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.04128
81,0.0,0.07692,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.05315
82,0.0,0.23077,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.02028
83,0.0,0.23077,0.33333,0.22581,0.5,0.5,0.0,0.0,0.0,0.06735
84,0.0,0.07692,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.39103
85,0.0,0.23077,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.05223
86,0.0,0.0,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.03568
87,0.0,0.0,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
88,0.0,0.23077,1.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
89,0.0,0.07692,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02265
90,0.0,0.0,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.08927
91,0.0,0.23077,0.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.15013
92,0.0,0.07692,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.09071
93,0.0,0.0,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.01096
94,0.0,0.15385,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.06932
95,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0247
96,0.0,0.07692,1.0,1.0,0.1,0.9,0.0,0.0,0.0,0.00782
97,0.0,0.15385,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.53064
98,0.0,1.0,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.02102
99,0.0,0.15385,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.22581,0.5,0.5,0.0,0.0,0.0,0.04795
101,0.0,1.0,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.0078
102,0.0,0.61538,1.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.13326
103,0.0,0.61538,0.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
104,0.0,0.15385,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.45882
105,0.0,1.0,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.00985
106,0.0,1.0,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00579
107,0.0,0.23077,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.19756
108,0.0,0.07692,1.0,0.09677,1.0,0.0,0.0,0.0,0.0,0.20543
109,0.0,0.15385,0.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.01969
110,0.0,0.0,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02024
111,0.0,0.61538,0.33333,0.22581,0.25,0.75,0.0,0.0,0.0,0.0228
112,0.0,0.15385,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02172
113,0.0,0.15385,0.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.0077
114,0.0,0.61538,1.0,0.48387,0.1,0.9,0.0,0.0,0.0,0.00779
115,0.0,0.61538,0.33333,0.22581,0.9,0.1,0.0,0.0,0.0,0.19772
116,0.0,0.07692,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.01158
117,0.0,0.15385,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.02055
118,0.0,0.07692,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.13168
119,0.0,1.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.1726
120,0.0,0.07692,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.06195
121,0.0,0.15385,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.00284
