,$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-read
0,0.0,0.07692,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00677
1,0.0,0.0,0.33333,0.22581,0.75,0.25,0.0,0.0,0.0,0.10249
2,0.0,0.23077,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02189
3,0.0,1.0,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.04497
4,0.0,0.0,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.02184
5,0.0,0.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.04604
6,0.0,0.0,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.00667
7,0.0,0.23077,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.01974
8,0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02173
9,0.0,0.07692,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.19671
10,0.0,1.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.04509
11,0.0,0.15385,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.0523
12,0.0,0.23077,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.0066
13,0.0,0.0,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.06317
14,0.0,0.15385,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.21884
15,0.0,0.07692,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
16,0.0,1.0,1.0,1.0,0.1,0.9,0.0,0.0,0.0,0.00717
17,0.0,0.07692,0.33333,0.22581,0.9,0.1,0.0,0.0,0.0,0.22685
18,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.01243
19,0.0,0.61538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01354
20,0.0,0.15385,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.18508
21,0.0,0.07692,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.4078
22,0.0,0.15385,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
23,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.19419
24,0.0,0.0,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
25,0.0,0.23077,1.0,0.48387,1.0,0.0,0.0,0.0,0.0,0.76723
26,0.0,0.61538,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.33457
27,0.0,0.15385,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
28,0.0,0.23077,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.18589
29,0.0,0.61538,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.15659
30,0.0,1.0,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
31,0.0,1.0,1.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.13695
32,0.0,0.61538,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
33,0.0,0.07692,0.0,0.03226,0.1,0.9,0.0,0.0,0.0,0.0043
34,0.0,0.61538,0.33333,0.03226,0.9,0.1,0.0,0.0,0.0,0.0554
35,0.0,0.61538,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.01784
36,0.0,0.61538,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.0667
37,0.0,0.07692,1.0,0.48387,0.75,0.25,0.0,0.0,0.0,0.19163
38,0.0,0.23077,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.47762
39,0.0,0.23077,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.02845
40,0.0,0.23077,0.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00664
41,0.0,0.61538,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.0078
42,0.0,0.23077,0.33333,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.05637
44,0.0,1.0,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.04878
45,0.0,0.23077,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
46,0.0,0.0,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.3103
47,0.0,0.07692,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.02603
48,0.0,0.07692,0.33333,0.09677,1.0,0.0,0.0,0.0,0.0,0.18052
49,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
50,0.0,0.15385,0.33333,0.03226,0.25,0.75,0.0,0.0,0.0,0.01259
51,0.0,0.07692,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.00253
52,0.0,0.07692,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.00786
53,0.0,1.0,1.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.25203
54,0.0,0.07692,0.33333,0.03226,0.25,0.75,0.0,0.0,0.0,0.01165
55,0.0,0.15385,0.0,0.03226,0.1,0.9,0.0,0.0,0.0,0.00458
56,0.0,0.61538,0.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.0162
57,0.0,0.15385,0.33333,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
58,0.0,0.23077,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.17722
59,0.0,0.07692,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.5618
60,0.0,0.07692,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.02341
61,0.0,0.23077,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.11398
62,0.0,0.0,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.00677
63,0.0,0.0,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.01772
64,0.0,0.07692,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.01926
65,0.0,0.61538,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.04278
66,0.0,0.07692,0.33333,0.03226,0.1,0.9,0.0,0.0,0.0,0.00484
67,0.0,0.0,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.01704
68,0.0,0.0,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.02131
69,0.0,0.15385,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.20062
70,0.0,0.61538,0.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.11869
71,0.0,0.23077,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
72,0.0,0.23077,1.0,0.22581,1.0,0.0,0.0,0.0,0.0,0.50007
73,0.0,0.07692,0.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.00763
74,0.0,0.23077,0.33333,0.48387,0.75,0.25,0.0,0.0,0.0,0.20075
75,0.0,0.0,1.0,0.48387,0.1,0.9,0.0,0.0,0.0,0.00644
76,0.0,0.61538,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.00762
77,0.0,0.15385,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.07846
78,0.0,0.0,0.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.08598
79,0.0,0.61538,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.66903
80,0.0,0.61538,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.04139
81,0.0,0.07692,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.05304
82,0.0,0.23077,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.02032
83,0.0,0.23077,0.33333,0.22581,0.5,0.5,0.0,0.0,0.0,0.06791
84,0.0,0.07692,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.38999
85,0.0,0.23077,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.05228
86,0.0,0.0,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.03566
87,0.0,0.0,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
88,0.0,0.23077,1.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
89,0.0,0.07692,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02268
90,0.0,0.0,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.09124
91,0.0,0.23077,0.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.15021
92,0.0,0.07692,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.09084
93,0.0,0.0,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.01089
94,0.0,0.15385,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.07128
95,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.02445
96,0.0,0.07692,1.0,1.0,0.1,0.9,0.0,0.0,0.0,0.00793
97,0.0,0.15385,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.53437
98,0.0,1.0,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.02096
99,0.0,0.15385,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.22581,0.5,0.5,0.0,0.0,0.0,0.04798
101,0.0,1.0,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.00772
102,0.0,0.61538,1.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.13343
103,0.0,0.61538,0.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
104,0.0,0.15385,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.45647
105,0.0,1.0,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.01
106,0.0,1.0,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00584
107,0.0,0.23077,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.20496
108,0.0,0.07692,1.0,0.09677,1.0,0.0,0.0,0.0,0.0,0.20769
109,0.0,0.15385,0.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.0197
110,0.0,0.0,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02018
111,0.0,0.61538,0.33333,0.22581,0.25,0.75,0.0,0.0,0.0,0.02284
112,0.0,0.15385,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02242
113,0.0,0.15385,0.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.00788
114,0.0,0.61538,1.0,0.48387,0.1,0.9,0.0,0.0,0.0,0.00796
115,0.0,0.61538,0.33333,0.22581,0.9,0.1,0.0,0.0,0.0,0.19806
116,0.0,0.07692,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.01144
117,0.0,0.15385,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.02044
118,0.0,0.07692,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.13209
119,0.0,1.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.17277
120,0.0,0.07692,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.06184
121,0.0,0.15385,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0027
122,0.0,1.0,0.0,0.09677,0.5,0.5,0.0,0.0,0.0,0.03968
123,0.0,0.23077,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02293
124,0.0,0.23077,0.0,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
125,0.0,0.0,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00653
126,0.0,0.07692,0.33333,0.48387,0.75,0.25,0.0,0.0,0.0,0.17842
127,0.0,0.07692,0.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.1047
128,0.0,0.15385,0.33333,0.48387,0.1,0.9,0.0,0.0,0.0,0.00778
129,0.0,0.61538,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.01763
130,0.0,0.15385,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.00764
131,0.0,0.07692,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.09677,0.75,0.25,0.0,0.0,0.0,0.06252
133,0.0,1.0,0.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.00672
134,0.0,0.23077,0.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
135,0.0,0.15385,0.33333,0.22581,1.0,0.0,0.0,0.0,0.0,0.38729
136,0.0,0.61538,0.0,0.09677,0.5,0.5,0.0,0.0,0.0,0.03818
137,0.0,0.07692,1.0,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.33333,0.22581,0.5,0.5,0.0,0.0,0.0,0.05179
139,0.0,0.61538,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.35118
140,0.0,0.61538,1.0,0.09677,0.75,0.25,0.0,0.0,0.0,0.09149
141,0.0,0.23077,0.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.00806
142,0.0,0.07692,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.0489
143,0.0,0.07692,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.91082
144,0.0,0.61538,0.33333,0.22581,0.75,0.25,0.0,0.0,0.0,0.14344
145,0.0,1.0,0.33333,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
146,0.0,0.23077,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.57638
147,0.0,0.23077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
148,0.0,1.0,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
149,0.0,0.15385,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.06431
150,0.0,0.61538,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.04235
151,0.0,0.0,0.0,0.22581,1.0,0.0,0.0,0.0,0.0,0.18676
152,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7531
153,0.0,0.15385,0.0,0.09677,0.75,0.25,0.0,0.0,0.0,0.09239
154,0.0,0.23077,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.5331
155,0.0,0.61538,1.0,0.48387,0.25,0.75,0.0,0.0,0.0,0.02266
156,0.0,0.23077,1.0,1.0,0.25,0.75,0.0,0.0,0.0,0.02242
157,0.0,0.15385,1.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
158,0.0,1.0,0.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.0074
159,0.0,0.15385,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.06683
160,0.0,0.61538,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
161,0.0,0.0,1.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.08751
162,0.0,0.61538,0.33333,0.48387,0.25,0.75,0.0,0.0,0.0,0.02318
163,0.0,0.15385,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.03185
164,0.0,1.0,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.56131
165,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00708
166,0.0,0.61538,0.0,0.03226,0.1,0.9,0.0,0.0,0.0,0.00417
167,0.0,0.07692,1.0,0.48387,1.0,0.0,0.0,0.0,0.0,0.66581
168,0.0,0.07692,0.33333,0.03226,1.0,0.0,0.0,0.0,0.0,0.09654
169,0.0,1.0,0.33333,0.22581,0.75,0.25,0.0,0.0,0.0,0.15612
170,0.0,0.15385,0.33333,0.09677,1.0,0.0,0.0,0.0,0.0,0.23914
171,0.0,1.0,1.0,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
172,0.0,0.07692,0.33333,0.48387,0.1,0.9,0.0,0.0,0.0,0.00759
173,0.0,0.15385,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.02084
174,0.0,0.15385,0.0,0.09677,1.0,0.0,0.0,0.0,0.0,0.14849
175,0.0,1.0,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.01826
176,0.0,1.0,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.02259
177,0.0,0.61538,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.16536
178,0.0,0.23077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02477
179,0.0,0.15385,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.01437
180,0.0,0.23077,1.0,0.22581,0.5,0.5,0.0,0.0,0.0,0.0673
181,0.0,0.0,0.0,0.09677,0.5,0.5,0.0,0.0,0.0,0.03702
