,$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-write
0,0.0,1.0,1.0,0.42857,1.0,0.0,0.0,0.0,0.5,0.0
1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2,0.0,1.0,0.33333,0.42857,1.0,0.0,0.0,0.0,0.5,0.0
3,0.0,1.0,0.33333,0.42857,1.0,0.0,0.0,0.0,1.0,0.0
4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0
5,0.0,0.0,1.0,1.0,0.75,0.25,0.0,0.06667,0.5,0.03092
6,0.0,0.0,1.0,1.0,0.75,0.25,0.0,0.06667,1.0,0.04076
7,0.0,1.0,0.33333,0.14286,0.5,0.5,0.0,0.06667,1.0,0.05018
8,0.0,0.33333,0.33333,0.14286,1.0,0.0,0.0,0.0,0.5,0.0
9,0.0,0.33333,0.33333,0.14286,1.0,0.0,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.42857,0.75,0.25,0.0,0.06667,1.0,0.0406
11,0.0,1.0,1.0,0.42857,1.0,0.0,1.0,1.0,1.0,0.0
12,0.0,0.0,1.0,0.42857,0.75,0.25,0.0,0.06667,0.5,0.03232
13,0.0,0.33333,1.0,0.42857,0.5,0.5,0.0,0.06667,1.0,0.05175
14,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.06667,0.5,0.03322
15,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.06667,0.5,0.03119
16,0.0,0.66667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
17,0.0,1.0,1.0,0.42857,1.0,0.0,1.0,1.0,0.0,0.0
18,0.0,0.33333,1.0,0.42857,0.75,0.25,0.0,0.06667,0.5,0.04692
19,0.0,1.0,0.33333,0.42857,1.0,0.0,1.0,1.0,0.5,0.0
20,0.0,0.33333,1.0,0.42857,0.0,1.0,0.0,0.0,0.5,0.04876
21,0.0,0.33333,1.0,0.42857,0.75,0.25,0.0,0.06667,1.0,0.04967
22,0.0,0.66667,0.0,0.14286,0.25,0.75,0.0,0.06667,1.0,0.04838
23,0.0,0.66667,0.0,0.14286,0.25,0.75,0.0,0.06667,0.5,0.04944
24,0.0,1.0,1.0,0.42857,0.5,0.5,1.0,1.0,1.0,0.61882
25,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.06667,1.0,0.03652
26,0.0,0.33333,0.33333,0.14286,0.5,0.5,0.0,0.06667,0.5,0.04658
27,0.0,0.0,1.0,0.42857,0.25,0.75,0.0,0.06667,0.5,0.02964
28,0.0,0.0,1.0,0.42857,0.25,0.75,0.0,0.06667,1.0,0.04252
29,0.0,0.33333,0.33333,0.14286,0.5,0.5,0.0,0.06667,1.0,0.04846
30,0.0,0.0,0.33333,0.14286,0.75,0.25,0.0,0.06667,0.5,0.03023
31,0.0,0.0,0.33333,0.14286,0.75,0.25,0.0,0.06667,1.0,0.03007
32,0.0,0.66667,0.0,0.0,0.5,0.5,0.0,0.06667,1.0,0.03508
33,0.0,1.0,0.0,0.14286,0.75,0.25,0.0,0.06667,0.5,0.02563
34,0.0,1.0,0.0,0.14286,0.25,0.75,0.0,0.06667,1.0,0.0508
35,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.05468
36,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0638
37,0.0,0.66667,0.33333,0.14286,1.0,0.0,1.0,1.0,0.5,0.0
38,0.0,1.0,1.0,0.42857,0.25,0.75,1.0,1.0,1.0,0.67037
39,0.0,1.0,1.0,0.42857,0.25,0.75,1.0,1.0,0.0,0.97704
40,0.0,0.0,1.0,0.42857,0.5,0.5,0.0,0.06667,0.5,0.03138
41,0.0,1.0,0.0,0.14286,0.0,1.0,0.0,0.0,1.0,0.05167
42,0.0,1.0,0.0,0.14286,0.0,1.0,0.0,0.0,0.5,0.05179
43,0.0,0.0,1.0,0.42857,0.5,0.5,0.0,0.06667,1.0,0.03915
44,0.0,1.0,0.33333,0.14286,0.5,0.5,0.0,0.06667,0.5,0.05015
45,0.0,1.0,0.0,0.14286,0.75,0.25,0.0,0.06667,1.0,0.02813
46,0.0,0.66667,0.33333,0.42857,0.5,0.5,0.0,0.06667,1.0,0.05213
47,0.0,1.0,1.0,0.42857,0.5,0.5,0.0,0.06667,1.0,0.05991
48,0.0,1.0,1.0,0.42857,0.5,0.5,0.0,0.06667,0.5,0.05569
49,0.0,0.33333,1.0,0.42857,1.0,0.0,0.0,0.0,1.0,0.0
50,0.0,0.33333,1.0,0.42857,1.0,0.0,0.0,0.0,0.5,0.0
51,0.0,0.66667,1.0,0.42857,1.0,0.0,1.0,1.0,0.0,0.0
52,0.0,0.66667,1.0,0.42857,1.0,0.0,1.0,1.0,0.5,0.0
53,0.0,0.33333,0.33333,0.42857,0.75,0.25,0.0,0.06667,1.0,0.0479
54,0.0,0.0,0.33333,0.42857,0.0,1.0,0.0,0.0,1.0,0.03621
55,0.0,0.66667,0.33333,0.14286,0.5,0.5,0.0,0.06667,1.0,0.04927
56,0.0,0.66667,0.33333,0.14286,0.5,0.5,0.0,0.06667,0.5,0.04859
57,0.0,0.0,1.0,0.42857,0.0,1.0,0.0,0.0,0.5,0.03045
58,0.0,0.0,1.0,0.42857,1.0,0.0,1.0,1.0,0.5,0.0
59,0.0,0.0,0.33333,0.42857,1.0,0.0,0.0,0.0,1.0,0.0
60,0.0,0.66667,1.0,0.42857,0.25,0.75,0.0,0.06667,1.0,0.05658
61,0.0,0.0,0.33333,0.42857,0.25,0.75,0.0,0.06667,0.5,0.03007
62,0.0,0.33333,0.33333,0.14286,1.0,0.0,1.0,1.0,0.5,0.0
63,0.0,0.33333,1.0,0.42857,1.0,0.0,1.0,1.0,0.5,0.0
64,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.03996
65,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.02924
66,0.0,1.0,1.0,0.42857,0.0,1.0,1.0,1.0,1.0,0.75431
67,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.06667,1.0,0.05739
68,0.0,1.0,1.0,0.42857,0.0,1.0,1.0,1.0,0.0,1.0
