$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughputread
0.0,1.0,1.0,0.42857,1.0,0.0,0.0,0.0,0.5,0.10971
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6647
0.0,1.0,0.33333,0.42857,1.0,0.0,0.0,0.0,0.5,0.05802
0.0,1.0,0.33333,0.42857,1.0,0.0,0.0,0.0,1.0,0.21721
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.09716
0.0,0.0,1.0,1.0,0.75,0.25,0.0,0.06667,0.5,0.03055
0.0,0.0,1.0,1.0,0.75,0.25,0.0,0.06667,1.0,0.04004
0.0,1.0,0.33333,0.14286,0.5,0.5,0.0,0.06667,1.0,0.01669
0.0,0.33333,0.33333,0.14286,1.0,0.0,0.0,0.0,0.5,0.05458
0.0,0.33333,0.33333,0.14286,1.0,0.0,0.0,0.0,1.0,0.18348
0.0,0.0,1.0,0.42857,0.75,0.25,0.0,0.06667,1.0,0.03925
0.0,1.0,1.0,0.42857,1.0,0.0,1.0,1.0,1.0,0.90103
0.0,0.0,1.0,0.42857,0.75,0.25,0.0,0.06667,0.5,0.03213
0.0,0.33333,1.0,0.42857,0.5,0.5,0.0,0.06667,1.0,0.01686
0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.06667,0.5,0.01121
0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.06667,0.5,0.00347
0.0,0.66667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.77499
0.0,1.0,1.0,0.42857,1.0,0.0,1.0,1.0,0.0,1.0
0.0,0.33333,1.0,0.42857,0.75,0.25,0.0,0.06667,0.5,0.04609
0.0,1.0,0.33333,0.42857,1.0,0.0,1.0,1.0,0.5,0.04661
0.0,0.33333,1.0,0.42857,0.0,1.0,0.0,0.0,0.5,0.0
0.0,0.33333,1.0,0.42857,0.75,0.25,0.0,0.06667,1.0,0.04977
0.0,0.66667,0.0,0.14286,0.25,0.75,0.0,0.06667,1.0,0.00507
0.0,0.66667,0.0,0.14286,0.25,0.75,0.0,0.06667,0.5,0.00526
0.0,1.0,1.0,0.42857,0.5,0.5,1.0,1.0,1.0,0.20295
0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.06667,1.0,0.01201
0.0,0.33333,0.33333,0.14286,0.5,0.5,0.0,0.06667,0.5,0.01531
0.0,0.0,1.0,0.42857,0.25,0.75,0.0,0.06667,0.5,0.00324
0.0,0.0,1.0,0.42857,0.25,0.75,0.0,0.06667,1.0,0.00478
0.0,0.33333,0.33333,0.14286,0.5,0.5,0.0,0.06667,1.0,0.01607
0.0,0.0,0.33333,0.14286,0.75,0.25,0.0,0.06667,0.5,0.03002
0.0,0.0,0.33333,0.14286,0.75,0.25,0.0,0.06667,1.0,0.03001
0.0,0.66667,0.0,0.0,0.5,0.5,0.0,0.06667,1.0,0.01101
0.0,1.0,0.0,0.14286,0.75,0.25,0.0,0.06667,0.5,0.02499
0.0,1.0,0.0,0.14286,0.25,0.75,0.0,0.06667,1.0,0.00565
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.66667,0.33333,0.14286,1.0,0.0,1.0,1.0,0.5,0.03043
0.0,1.0,1.0,0.42857,0.25,0.75,1.0,1.0,1.0,0.07354
0.0,1.0,1.0,0.42857,0.25,0.75,1.0,1.0,0.0,0.10698
0.0,0.0,1.0,0.42857,0.5,0.5,0.0,0.06667,0.5,0.0106
0.0,1.0,0.0,0.14286,0.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.14286,0.0,1.0,0.0,0.0,0.5,0.0
0.0,0.0,1.0,0.42857,0.5,0.5,0.0,0.06667,1.0,0.01296
0.0,1.0,0.33333,0.14286,0.5,0.5,0.0,0.06667,0.5,0.01609
0.0,1.0,0.0,0.14286,0.75,0.25,0.0,0.06667,1.0,0.02722
0.0,0.66667,0.33333,0.42857,0.5,0.5,0.0,0.06667,1.0,0.01686
0.0,1.0,1.0,0.42857,0.5,0.5,0.0,0.06667,1.0,0.02008
0.0,1.0,1.0,0.42857,0.5,0.5,0.0,0.06667,0.5,0.01866
0.0,0.33333,1.0,0.42857,1.0,0.0,0.0,0.0,1.0,0.56121
0.0,0.33333,1.0,0.42857,1.0,0.0,0.0,0.0,0.5,0.10186
0.0,0.66667,1.0,0.42857,1.0,0.0,1.0,1.0,0.0,0.99579
0.0,0.66667,1.0,0.42857,1.0,0.0,1.0,1.0,0.5,0.0412
0.0,0.33333,0.33333,0.42857,0.75,0.25,0.0,0.06667,1.0,0.04657
0.0,0.0,0.33333,0.42857,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.66667,0.33333,0.14286,0.5,0.5,0.0,0.06667,1.0,0.01607
0.0,0.66667,0.33333,0.14286,0.5,0.5,0.0,0.06667,0.5,0.01611
0.0,0.0,1.0,0.42857,0.0,1.0,0.0,0.0,0.5,0.0
0.0,0.0,1.0,0.42857,1.0,0.0,1.0,1.0,0.5,0.01968
0.0,0.0,0.33333,0.42857,1.0,0.0,0.0,0.0,1.0,0.2156
0.0,0.66667,1.0,0.42857,0.25,0.75,0.0,0.06667,1.0,0.00621
0.0,0.0,0.33333,0.42857,0.25,0.75,0.0,0.06667,0.5,0.00319
0.0,0.33333,0.33333,0.14286,1.0,0.0,1.0,1.0,0.5,0.02382
0.0,0.33333,1.0,0.42857,1.0,0.0,1.0,1.0,0.5,0.03025
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0
0.0,1.0,1.0,0.42857,0.0,1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.06667,1.0,0.05813
0.0,1.0,1.0,0.42857,0.0,1.0,1.0,1.0,0.0,0.0
0.0,0.66667,1.0,0.42857,0.5,0.5,0.0,0.06667,0.5,0.01777
0.0,0.66667,1.0,0.42857,0.5,0.5,1.0,1.0,0.0,0.26688
0.0,0.66667,1.0,0.42857,0.5,0.5,0.0,0.06667,1.0,0.01788
0.0,0.66667,1.0,1.0,0.25,0.75,0.0,0.06667,1.0,0.00639
0.0,0.66667,1.0,1.0,0.5,0.5,0.0,0.06667,1.0,0.02083
