$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-write
1,6,1,8,75,25,64,1024,0,29.9126229508
1,4,1,2,90,10,64,1024,3,6.6056666666999995
1,8,2,4,90,10,64,1024,3,19.637833333299998
1,4,2,16,0,100,64,1024,1,18.4385
1,8,4,16,25,75,64,1024,3,65.0866666667
1,6,1,8,10,90,64,1024,3,38.7136065574
1,6,1,4,50,50,64,1024,3,30.625737704899997
1,10,2,16,50,50,64,1024,0,60.317704918000004
1,8,1,1,10,90,64,1024,3,19.928
1,8,2,2,50,50,64,1024,3,25.5425
1,10,2,16,25,75,64,1024,2,41.066557376999995
1,4,2,16,75,25,64,1024,2,12.0355
1,4,1,4,50,50,64,1024,3,23.162
1,4,1,8,10,90,64,1024,2,15.847000000000001
1,6,2,16,25,75,64,1024,1,24.208032786900002
1,6,1,8,75,25,64,1024,3,31.956666666700002
1,6,1,2,50,50,64,1024,3,22.061999999999998
1,4,1,8,0,100,64,1024,3,30.6918032787
1,10,1,8,50,50,64,1024,1,31.3995
1,6,1,2,10,90,64,1024,3,26.7316393443
1,8,1,2,90,10,64,1024,3,9.009
1,4,2,16,10,90,64,1024,3,33.0318333333
1,4,4,32,50,50,64,1024,1,18.9854098361
1,8,2,2,90,10,64,1024,3,11.4
1,10,1,1,90,10,64,1024,3,4.6766666667
1,8,2,4,25,75,64,1024,3,40.4746666667
1,10,1,8,10,90,64,1024,2,37.5861666667
1,6,4,32,90,10,64,1024,2,14.0195
1,10,2,16,50,50,64,1024,3,66.66344262300001
1,4,4,32,50,50,64,1024,0,32.054833333299996
