$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,6,2,16,75,25,16,4096,0,67.1458333333
1,20,2,16,25,75,16,4096,0,75.6419444444
1,6,2,16,50,50,16,4096,0,73.5330555556
1,20,1,1,10,90,16,4096,0,24.94
1,20,1,1,25,75,16,4096,0,19.6563888889
1,8,2,2,50,50,16,4096,0,35.0980555556
1,4,2,16,50,50,16,4096,0,64.7955555556
1,30,1,4,0,100,16,4096,0,68.2027777778
1,6,4,8,50,50,16,4096,0,74.0972222222
1,6,2,16,25,75,16,4096,0,77.4066666667
1,6,4,4,0,100,16,4096,0,70.41194444439999
1,20,2,2,25,75,16,4096,0,36.0155555556
1,30,2,16,75,25,16,4096,0,69.3872972973
1,20,1,2,0,100,16,4096,0,47.4216666667
1,4,1,1,75,25,16,4096,0,7.6561111111
1,30,1,4,90,10,16,4096,0,10.6816666667
1,20,4,4,25,75,16,4096,0,59.5941666667
1,20,4,8,90,10,16,4096,0,32.5147222222
1,6,4,4,75,25,16,4096,0,35.6566666667
1,20,4,32,90,10,16,4096,0,58.8202702703
1,4,4,4,25,75,16,4096,0,57.58055555560001
1,8,1,8,50,50,16,4096,0,73.62777777779999
1,10,2,4,10,90,16,4096,0,70.33138888890001
1,30,1,1,0,100,16,4096,0,29.2211111111
1,8,1,2,90,10,16,4096,0,8.06
