$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,8,1,2,10,90,16,4096,0,5.1888888889
1,4,1,1,10,90,16,4096,0,3.3402777778
1,10,4,16,25,75,16,4096,0,26.6343243243
1,10,4,32,75,25,16,4096,0,222.9413513514
1,30,1,1,10,90,16,4096,0,3.0222222222000004
1,4,2,2,50,50,16,4096,0,24.6141666667
1,10,2,8,50,50,16,4096,0,76.00027027029999
1,6,4,8,10,90,16,4096,0,8.5247222222
1,4,2,8,75,25,16,4096,0,114.56444444440001
1,6,2,16,90,10,16,4096,0,335.1127777778
1,6,2,4,50,50,16,4096,0,52.685833333299996
1,6,2,2,50,50,16,4096,0,29.258611111100002
1,4,1,8,25,75,16,4096,0,22.165277777800004
1,4,1,2,90,10,16,4096,0,52.13
1,8,1,4,10,90,16,4096,0,7.714722222200001
1,20,1,2,100,0,16,4096,0,52.781388888900004
1,20,2,8,100,0,16,4096,0,259.8202777778
1,20,4,32,75,25,16,4096,0,225.82166666669997
1,6,4,4,25,75,16,4096,0,21.0316666667
1,8,2,8,75,25,16,4096,0,189.70722222220002
1,30,1,4,90,10,16,4096,0,93.29111111110001
1,4,1,2,10,90,16,4096,0,5.395833333300001
1,30,4,16,25,75,16,4096,0,25.171666666700002
1,8,1,1,25,75,16,4096,0,7.7491666667
1,8,4,16,25,75,16,4096,0,25.4419444444
