$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-read
1,20,2,8,75,25,16,4096,0,786.3333333333001
1,6,2,4,90,10,16,4096,0,724.0833333333001
1,30,1,4,25,75,16,4096,0,98.5
1,6,1,8,50,50,16,4096,0,339.4444444444
1,6,2,16,25,75,16,4096,0,123.4166666667
1,10,2,8,10,90,16,4096,0,41.3055555556
1,30,1,1,75,25,16,4096,0,99.1111111111
1,8,2,4,50,50,16,4096,0,286.6944444444
1,4,2,16,100,0,16,4096,0,1741.8055555556
1,4,1,1,75,25,16,4096,0,109.47222222219999
1,8,2,16,90,10,16,4096,0,2205.5555555555998
1,8,2,8,25,75,16,4096,0,127.05405405409999
1,4,2,8,10,90,16,4096,0,37.1388888889
1,20,1,1,25,75,16,4096,0,30.75
1,8,2,2,10,90,16,4096,0,25.305555555599998
1,4,2,2,100,0,16,4096,0,350.0
1,10,1,2,90,10,16,4096,0,351.9166666667
1,8,1,2,50,50,16,4096,0,148.5
1,4,2,8,25,75,16,4096,0,110.6944444444
1,20,2,8,100,0,16,4096,0,1242.8055555556
1,30,1,1,90,10,16,4096,0,101.3611111111
1,20,2,2,100,0,16,4096,0,383.8333333333
1,4,1,1,90,10,16,4096,0,134.0277777778
1,10,4,16,50,50,16,4096,0,381.9189189189
1,10,1,8,90,10,16,4096,0,1238.6111111111
