$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,20,2,4,75,25,16,4096,0,148.9722222222
1,8,2,16,25,75,16,4096,0,379.86486486489997
1,4,4,32,0,100,16,4096,0,336.9459459459
1,20,4,32,90,10,16,4096,0,288.81081081080004
1,20,4,8,0,100,16,4096,0,384.1666666667
1,20,1,4,25,75,16,4096,0,279.9166666667
1,6,2,2,50,50,16,4096,0,148.3333333333
1,30,1,2,75,25,16,4096,0,61.388888888900006
1,4,4,16,50,50,16,4096,0,326.8888888889
1,30,2,2,50,50,16,4096,0,141.3611111111
1,6,1,2,90,10,16,4096,0,33.8888888889
1,8,4,32,75,25,16,4096,0,367.25
1,20,4,8,50,50,16,4096,0,351.18918918919996
1,20,2,16,75,25,16,4096,0,336.18918918919996
1,8,4,32,10,90,16,4096,0,380.972972973
1,10,2,2,50,50,16,4096,0,180.30555555560002
1,20,1,8,10,90,16,4096,0,371.7777777778
1,4,4,8,90,10,16,4096,0,88.1111111111
1,8,2,8,50,50,16,4096,0,372.8888888889
1,30,2,2,10,90,16,4096,0,210.5277777778
1,4,2,4,10,90,16,4096,0,321.3055555556
1,30,2,4,50,50,16,4096,0,256.8333333333
1,6,4,16,25,75,16,4096,0,387.4722222222
1,30,1,1,10,90,16,4096,0,118.4166666667
1,6,1,8,10,90,16,4096,0,385.8611111111
