$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,20,2,4,90,10,16,4096,0,28.299722222199996
1,8,1,2,10,90,16,4096,0,34.1686111111
1,4,2,4,25,75,16,4096,0,60.5705555556
1,10,2,2,75,25,16,4096,0,14.609444444400001
1,8,1,1,25,75,16,4096,0,31.7825
1,20,1,2,100,0,16,4096,0,38.8969444444
1,20,1,4,75,25,16,4096,0,42.7769444444
1,30,2,8,75,25,16,4096,0,24.8583333333
1,6,2,4,90,10,16,4096,0,22.627222222199997
1,4,4,4,25,75,16,4096,0,62.968611111099996
1,4,2,2,75,25,16,4096,0,38.457222222199995
1,10,1,2,100,0,16,4096,0,24.2886111111
1,10,2,4,90,10,16,4096,0,15.0472222222
1,10,2,16,50,50,16,4096,0,24.4275
1,30,2,8,90,10,16,4096,0,25.1313888889
1,8,2,4,90,10,16,4096,0,16.7475
1,10,2,8,25,75,16,4096,0,18.4722222222
1,6,1,2,75,25,16,4096,0,32.181388888899995
1,10,4,8,90,10,16,4096,0,15.651388888900001
1,10,1,2,25,75,16,4096,0,28.7352777778
1,10,2,2,10,90,16,4096,0,18.0208333333
1,8,1,2,50,50,16,4096,0,28.766111111100003
1,8,1,8,100,0,16,4096,0,27.856111111100002
1,20,1,2,50,50,16,4096,0,53.3419444444
1,10,1,4,50,50,16,4096,0,23.7941666667
