,mon,osd,driver,worker,read,write,container,object,size,op-write
1mon4osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124201532,1,4,4,8,75,25,16,4096,0,188.97222222222223
1mon10osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124003026,1,10,4,32,25,75,16,4096,0,373.2432432432432
1mon30osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123040952,1,30,2,2,10,90,16,4096,0,210.52777777777777
1mon30osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123070925,1,30,4,8,50,50,16,4096,0,349.0833333333333
1mon4osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124193748,1,4,4,4,90,10,16,4096,0,54.44444444444444
1mon8osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124055819,1,8,4,4,0,100,16,4096,0,353.27777777777777
1mon20osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123124542,1,20,2,8,90,10,16,4096,0,120.35135135135135
1mon4osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124183515,1,4,2,8,75,25,16,4096,0,186.75
1mon4osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124194222,1,4,4,4,75,25,16,4096,0,112.61111111111111
1mon10osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123185859,1,10,1,2,0,100,16,4096,0,241.38888888888889
1mon20osd_2driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123124047,1,20,2,8,100,0,16,4096,0,0.0
1mon30osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151123083209,1,30,4,32,25,75,16,4096,0,369.3611111111111
1mon10osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123203918,1,10,2,2,0,100,16,4096,0,240.16666666666666
1mon6osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124113859,1,6,2,8,50,50,16,4096,0,350.80555555555554
1mon20osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123121532,1,20,2,4,75,25,16,4096,0,148.97222222222223
1mon10osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123202502,1,10,2,2,50,50,16,4096,0,180.30555555555554
1mon4osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124203002,1,4,4,8,10,90,16,4096,0,340.80555555555554
1mon30osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123055138,1,30,2,16,50,50,16,4096,0,369.72222222222223
1mon4osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124180233,1,4,2,4,75,25,16,4096,0,116.08333333333333
1mon8osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124014456,1,8,1,2,75,25,16,4096,0,84.5
1mon4osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124175333,1,4,2,4,100,0,16,4096,0,0.0
1mon10osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123201545,1,10,2,2,90,10,16,4096,0,61.52777777777778
1mon6osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124143420,1,6,4,32,25,75,16,4096,0,383.6111111111111
1mon8osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124065448,1,8,4,16,50,50,16,4096,0,365.9166666666667
1mon30osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123021915,1,30,1,2,10,90,16,4096,0,205.38888888888889
1mon20osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123095028,1,20,1,2,90,10,16,4096,0,26.083333333333332
1mon8osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124030950,1,8,1,8,0,100,16,4096,0,389.3611111111111
1mon20osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123151611,1,20,4,16,75,25,16,4096,0,357.22222222222223
1mon20osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123105959,1,20,1,8,90,10,16,4096,0,96.52777777777777
1mon20osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123094529,1,20,1,2,100,0,16,4096,0,0.0
1mon10osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123223127,1,10,4,4,90,10,16,4096,0,125.77777777777777
1mon30osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123032210,1,30,1,8,50,50,16,4096,0,331.64864864864865
1mon20osd_1driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123104452,1,20,1,4,10,90,16,4096,0,309.6111111111111
1mon6osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124110059,1,6,2,4,75,25,16,4096,0,164.94444444444446
1mon20osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123125552,1,20,2,8,50,50,16,4096,0,343.9166666666667
1mon30osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123045212,1,30,2,4,0,100,16,4096,0,322.6111111111111
1mon6osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124104223,1,6,2,2,10,90,16,4096,0,227.41666666666666
1mon4osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124171139,1,4,1,8,10,90,16,4096,0,337.69444444444446
1mon30osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151123075858,1,30,4,16,10,90,16,4096,0,374.75
1mon20osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123130100,1,20,2,8,25,75,16,4096,0,367.6388888888889
1mon20osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123142859,1,20,4,8,100,0,16,4096,0,0.0
1mon30osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151123082637,1,30,4,32,50,50,16,4096,0,364.2162162162162
1mon8osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124043523,1,8,2,8,50,50,16,4096,0,372.8888888888889
1mon10osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123191740,1,10,1,4,50,50,16,4096,0,267.9166666666667
1mon30osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123044652,1,30,2,4,10,90,16,4096,0,313.5
1mon8osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124061240,1,8,4,8,75,25,16,4096,0,339.52777777777777
1mon8osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124052405,1,8,2,16,0,100,16,4096,0,386.6111111111111
1mon8osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124015841,1,8,1,2,10,90,16,4096,0,224.19444444444446
1mon4osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151124151038,1,4,1,1,100,0,16,4096,0,0.0
1mon10osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123192227,1,10,1,4,25,75,16,4096,0,327.05555555555554
1mon8osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124035652,1,8,2,4,75,25,16,4096,0,195.19444444444446
1mon20osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123100956,1,20,1,2,10,90,16,4096,0,203.86111111111111
1mon6osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124110538,1,6,2,4,50,50,16,4096,0,262.4166666666667
1mon4osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124164630,1,4,1,8,100,0,16,4096,0,0.0
1mon20osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123102950,1,20,1,4,75,25,16,4096,0,117.94444444444444
1mon10osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123204845,1,10,2,4,90,10,16,4096,0,112.83333333333333
1mon4osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124162732,1,4,1,4,50,50,16,4096,0,203.22222222222223
1mon10osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123220638,1,10,2,16,50,50,16,4096,0,378.75
1mon20osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123151054,1,20,4,16,90,10,16,4096,0,214.78378378378378
1mon30osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151123014309,1,30,1,1,10,90,16,4096,0,118.41666666666667
1mon4osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124165100,1,4,1,8,90,10,16,4096,0,79.86111111111111
1mon8osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151124013113,1,8,1,1,0,100,16,4096,0,145.66666666666666
1mon20osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151123094030,1,20,1,1,0,100,16,4096,0,141.16666666666666
1mon8osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124040628,1,8,2,4,25,75,16,4096,0,331.5833333333333
1mon6osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124124716,1,6,4,4,50,50,16,4096,0,264.3611111111111
1mon10osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151123180330,1,10,1,1,90,10,16,4096,0,18.97222222222222
1mon10osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123204409,1,10,2,4,100,0,16,4096,0,0.0
1mon10osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123214710,1,10,2,8,0,100,16,4096,0,381.3333333333333
1mon30osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123061356,1,30,4,4,100,0,16,4096,0,0.0
1mon4osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124185430,1,4,2,8,0,100,16,4096,0,341.1666666666667
1mon8osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124071948,1,8,4,32,90,10,16,4096,0,325.7837837837838
1mon4osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151124153305,1,4,1,1,10,90,16,4096,0,134.30555555555554
1mon20osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123123033,1,20,2,4,10,90,16,4096,0,311.5833333333333
1mon20osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123134735,1,20,2,16,0,100,16,4096,0,383.1388888888889
1mon20osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123113113,1,20,2,2,100,0,16,4096,0,0.0
1mon8osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124051408,1,8,2,16,25,75,16,4096,0,379.86486486486484
1mon8osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124063240,1,8,4,8,0,100,16,4096,0,374.5
1mon10osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123212723,1,10,2,8,75,25,16,4096,0,308.8611111111111
1mon4osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124172129,1,4,2,2,100,0,16,4096,0,0.0
1mon4osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151124153737,1,4,1,1,0,100,16,4096,0,165.86111111111111
1mon6osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124140500,1,6,4,16,10,90,16,4096,0,383.47222222222223
1mon8osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124014927,1,8,1,2,50,50,16,4096,0,150.36111111111111
1mon6osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124121259,1,6,2,16,50,50,16,4096,0,361.05555555555554
1mon10osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124001511,1,10,4,32,90,10,16,4096,0,353.97222222222223
1mon20osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123104955,1,20,1,4,0,100,16,4096,0,331.6111111111111
1mon6osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124114858,1,6,2,8,10,90,16,4096,0,365.22222222222223
1mon8osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151124074512,1,8,4,32,0,100,16,4096,0,382.1621621621622
1mon30osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123031652,1,30,1,8,75,25,16,4096,0,240.69444444444446
1mon10osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123183538,1,10,1,2,90,10,16,4096,0,38.5
1mon4osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124173931,1,4,2,2,25,75,16,4096,0,176.16666666666666
1mon8osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124051907,1,8,2,16,10,90,16,4096,0,380.97297297297297
1mon10osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123233021,1,10,4,8,0,100,16,4096,0,375.27027027027026
1mon6osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124103745,1,6,2,2,25,75,16,4096,0,199.97222222222223
1mon10osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123234514,1,10,4,16,75,25,16,4096,0,372.55555555555554
1mon30osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123065830,1,30,4,8,90,10,16,4096,0,151.47222222222223
1mon4osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151124203954,1,4,4,16,100,0,16,4096,0,0.0
1mon6osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124105152,1,6,2,4,100,0,16,4096,0,0.0
1mon10osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123230055,1,10,4,8,100,0,16,4096,0,0.0
1mon8osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124021244,1,8,1,4,90,10,16,4096,0,79.52777777777777
1mon4osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124160004,1,4,1,2,25,75,16,4096,0,177.61111111111111
1mon30osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151123011618,1,30,1,1,100,0,16,4096,0,0.0
1mon20osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151123155322,1,20,4,32,75,25,16,4096,0,369.4166666666667
1mon30osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151123081006,1,30,4,32,100,0,16,4096,0,0.0
1mon30osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123060801,1,30,2,16,0,100,16,4096,0,372.86486486486484
1mon20osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123153733,1,20,4,16,0,100,16,4096,0,380.47222222222223
1mon4osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124203500,1,4,4,8,0,100,16,4096,0,343.8333333333333
1mon8osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124064310,1,8,4,16,90,10,16,4096,0,284.69444444444446
1mon30osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123071459,1,30,4,8,25,75,16,4096,0,367.9166666666667
1mon20osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123133157,1,20,2,16,50,50,16,4096,0,360.5135135135135
1mon6osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151124081355,1,6,1,1,90,10,16,4096,0,16.166666666666668
1mon4osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124184938,1,4,2,8,10,90,16,4096,0,338.47222222222223
1mon6osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124090834,1,6,1,2,0,100,16,4096,0,238.44444444444446
1mon10osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151124001025,1,10,4,32,100,0,16,4096,0,0.0
1mon20osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123150555,1,20,4,16,100,0,16,4096,0,0.0
1mon4osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151124151937,1,4,1,1,75,25,16,4096,0,36.52777777777778
1mon10osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123193709,1,10,1,8,100,0,16,4096,0,0.0
1mon4osd_4driver_10read90write0delete_32worker_16container_4096object_512KB_180sec_20151124213747,1,4,4,32,10,90,16,4096,0,336.7027027027027
1mon30osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151123084303,1,30,4,32,0,100,16,4096,0,363.5405405405405
1mon4osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124161359,1,4,1,4,100,0,16,4096,0,0.0
1mon4osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124183042,1,4,2,8,90,10,16,4096,0,86.83333333333333
1mon6osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124112008,1,6,2,4,0,100,16,4096,0,353.3888888888889
1mon20osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123144431,1,20,4,8,50,50,16,4096,0,351.18918918918916
1mon8osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124023617,1,8,1,4,0,100,16,4096,0,347.43243243243245
1mon20osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151123092103,1,20,1,1,75,25,16,4096,0,31.97222222222222
1mon10osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123213721,1,10,2,8,25,75,16,4096,0,379.6666666666667
1mon10osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123225055,1,10,4,4,10,90,16,4096,0,338.25
1mon8osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124042548,1,8,2,8,90,10,16,4096,0,168.55555555555554
1mon20osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123111525,1,20,1,8,25,75,16,4096,0,362.56756756756755
1mon30osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123033301,1,30,1,8,10,90,16,4096,0,370.22222222222223
1mon4osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124191814,1,4,2,16,25,75,16,4096,0,338.5
1mon20osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151123091611,1,20,1,1,90,10,16,4096,0,12.11111111111111
1mon30osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123065253,1,30,4,8,100,0,16,4096,0,0.0
1mon4osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124201055,1,4,4,8,90,10,16,4096,0,88.11111111111111
1mon4osd_4driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124205853,1,4,4,16,25,75,16,4096,0,345.0833333333333
1mon30osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123080427,1,30,4,16,0,100,16,4096,0,376.94444444444446
1mon4osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124154638,1,4,1,2,90,10,16,4096,0,27.97222222222222
1mon30osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123035926,1,30,2,2,50,50,16,4096,0,141.36111111111111
1mon10osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123223613,1,10,4,4,75,25,16,4096,0,216.38888888888889
1mon30osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123022947,1,30,1,4,100,0,16,4096,0,0.0
1mon20osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123150033,1,20,4,8,0,100,16,4096,0,384.1666666666667
1mon10osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123221133,1,10,2,16,25,75,16,4096,0,379.75
1mon4osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124194700,1,4,4,4,50,50,16,4096,0,202.08333333333334
1mon30osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123043057,1,30,2,4,75,25,16,4096,0,169.16666666666666
1mon30osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123074225,1,30,4,16,75,25,16,4096,0,362.02777777777777
1mon20osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123130612,1,20,2,8,10,90,16,4096,0,374.8611111111111
1mon6osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124135505,1,6,4,16,50,50,16,4096,0,375.97222222222223
1mon4osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124190833,1,4,2,16,75,25,16,4096,0,252.77777777777777
1mon20osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123100011,1,20,1,2,50,50,16,4096,0,113.97222222222223
1mon30osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123024528,1,30,1,4,50,50,16,4096,0,215.25
1mon10osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123203432,1,10,2,2,10,90,16,4096,0,228.80555555555554
1mon4osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124171626,1,4,1,8,0,100,16,4096,0,342.1388888888889
1mon30osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123041515,1,30,2,2,0,100,16,4096,0,227.5
1mon6osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151124142421,1,6,4,32,75,25,16,4096,0,358.55555555555554
1mon6osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124092225,1,6,1,4,75,25,16,4096,0,135.61111111111111
1mon4osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124165531,1,4,1,8,75,25,16,4096,0,125.5945945945946
1mon8osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124054336,1,8,4,4,50,50,16,4096,0,301.1111111111111
1mon6osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124122752,1,6,2,16,0,100,16,4096,0,377.2432432432432
1mon10osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123200106,1,10,1,8,10,90,16,4096,0,384.6666666666667
1mon8osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151124072958,1,8,4,32,50,50,16,4096,0,371.7837837837838
1mon10osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123222124,1,10,2,16,0,100,16,4096,0,380.3333333333333
1mon6osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124111027,1,6,2,4,25,75,16,4096,0,313.5833333333333
1mon6osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124141926,1,6,4,32,90,10,16,4096,0,339.19444444444446
1mon30osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123032736,1,30,1,8,25,75,16,4096,0,366.44444444444446
1mon8osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124030500,1,8,1,8,10,90,16,4096,0,383.47222222222223
1mon6osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124131125,1,6,4,8,90,10,16,4096,0,162.88888888888889
1mon10osd_2driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123215642,1,10,2,16,90,10,16,4096,0,258.1111111111111
1mon10osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123233526,1,10,4,16,100,0,16,4096,0,0.0
1mon4osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124195635,1,4,4,4,10,90,16,4096,0,318.0
1mon30osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123061904,1,30,4,4,90,10,16,4096,0,84.13888888888889
1mon10osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123184448,1,10,1,2,50,50,16,4096,0,154.91666666666666
1mon10osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151123180803,1,10,1,1,75,25,16,4096,0,45.916666666666664
1mon8osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124061735,1,8,4,8,50,50,16,4096,0,371.97222222222223
1mon6osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124125703,1,6,4,4,10,90,16,4096,0,342.3611111111111
1mon20osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123142344,1,20,4,4,0,100,16,4096,0,320.8611111111111
1mon4osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124191324,1,4,2,16,50,50,16,4096,0,319.55555555555554
1mon6osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124134519,1,6,4,16,90,10,16,4096,0,246.88888888888889
1mon20osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123111019,1,20,1,8,50,50,16,4096,0,329.0
1mon4osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124205359,1,4,4,16,50,50,16,4096,0,326.8888888888889
1mon30osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151123082056,1,30,4,32,75,25,16,4096,0,357.02702702702703
1mon6osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124093142,1,6,1,4,25,75,16,4096,0,310.0
1mon6osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124104706,1,6,2,2,0,100,16,4096,0,252.19444444444446
1mon6osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151124081827,1,6,1,1,75,25,16,4096,0,37.5
1mon4osd_1driver_25read75write0delete_1worker_16container_4096object_512KB_180sec_20151124152835,1,4,1,1,25,75,16,4096,0,104.25
1mon4osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124161831,1,4,1,4,90,10,16,4096,0,52.666666666666664
1mon20osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151123161441,1,20,4,32,0,100,16,4096,0,378.8888888888889
1mon30osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123030628,1,30,1,8,100,0,16,4096,0,0.0
1mon8osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124031454,1,8,2,2,100,0,16,4096,0,0.0
1mon4osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124202508,1,4,4,8,25,75,16,4096,0,331.9166666666667
1mon4osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151124151511,1,4,1,1,90,10,16,4096,0,15.666666666666666
1mon8osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124062230,1,8,4,8,25,75,16,4096,0,378.72222222222223
1mon10osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123230534,1,10,4,8,90,10,16,4096,0,202.5
1mon30osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123034407,1,30,2,2,100,0,16,4096,0,0.0
1mon4osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124184447,1,4,2,8,25,75,16,4096,0,334.1388888888889
1mon8osd_2driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124045936,1,8,2,16,90,10,16,4096,0,246.0
1mon8osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124025518,1,8,1,8,50,50,16,4096,0,359.6666666666667
1mon6osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124102836,1,6,2,2,75,25,16,4096,0,88.86111111111111
1mon4osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124180707,1,4,2,4,50,50,16,4096,0,213.47222222222223
1mon30osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151123012242,1,30,1,1,90,10,16,4096,0,11.0
1mon10osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123195118,1,10,1,8,50,50,16,4096,0,358.0
