,mon,osd,driver,worker,read,write,container,object,size,op-write
1mon8osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124030009,1,8,1,8,25,75,16,4096,0,379.6111111111111
1mon4osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124192309,1,4,2,16,10,90,16,4096,0,342.0833333333333
1mon6osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124112931,1,6,2,8,90,10,16,4096,0,138.58333333333334
1mon4osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124200624,1,4,4,8,100,0,16,4096,0,0.0
1mon10osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123184929,1,10,1,2,25,75,16,4096,0,202.47222222222223
1mon10osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123222643,1,10,4,4,100,0,16,4096,0,0.0
1mon20osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123145513,1,20,4,8,10,90,16,4096,0,380.1111111111111
1mon6osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124100938,1,6,1,8,10,90,16,4096,0,385.8611111111111
1mon4osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151124211340,1,4,4,32,100,0,16,4096,0,0.0
1mon30osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151123035417,1,30,2,2,75,25,16,4096,0,84.80555555555556
1mon10osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123214217,1,10,2,8,10,90,16,4096,0,379.55555555555554
1mon4osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124175802,1,4,2,4,90,10,16,4096,0,54.25
1mon10osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151123175844,1,10,1,1,100,0,16,4096,0,0.0
1mon10osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124000523,1,10,4,16,0,100,16,4096,0,384.8888888888889
