$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,20,1,8,10,90,16,4096,0,44.1097222222
1,20,2,2,75,25,16,4096,0,31.3436111111
1,20,4,32,25,75,16,4096,0,32.9202702703
1,6,1,1,50,50,16,4096,0,33.6769444444
1,20,1,8,0,100,16,4096,0,0
1,8,1,4,100,0,16,4096,0,24.3455555556
1,4,4,32,90,10,16,4096,0,77.1725
1,20,4,8,75,25,16,4096,0,20.4455555556
1,6,1,4,100,0,16,4096,0,31.3841666667
1,20,2,16,90,10,16,4096,0,43.0051351351
1,20,1,4,25,75,16,4096,0,49.6433333333
1,8,4,8,10,90,16,4096,0,20.2911111111
1,6,1,2,75,25,16,4096,0,32.1813888889
1,30,2,8,50,50,16,4096,0,25.0969444444
1,20,4,4,75,25,16,4096,0,25.1908333333
1,10,1,4,10,90,16,4096,0,22.625
1,8,1,4,50,50,16,4096,0,26.6133333333
1,4,4,32,50,50,16,4096,0,143.6694594595
1,10,4,32,75,25,16,4096,0,39.9140540541
1,30,1,1,25,75,16,4096,0,56.0022222222
1,6,1,2,50,50,16,4096,0,38.2397222222
1,10,2,8,100,0,16,4096,0,18.7966666667
1,6,2,8,75,25,16,4096,0,26.5986111111
1,8,2,2,50,50,16,4096,0,18.8944444444
1,10,4,16,10,90,16,4096,0,31.8163888889
1,10,1,8,25,75,16,4096,0,23.1255555556
1,6,4,8,100,0,16,4096,0,17.2772222222
1,20,2,2,90,10,16,4096,0,28.0625
1,6,4,16,0,100,16,4096,0,0
1,8,2,8,0,100,16,4096,0,0
1,10,4,16,90,10,16,4096,0,19.6288888889
1,30,1,4,10,90,16,4096,0,47.3844444444
1,8,4,32,100,0,16,4096,0,34.1522222222
1,20,2,4,90,10,16,4096,0,28.2997222222
1,10,2,2,75,25,16,4096,0,14.6094444444
1,8,2,4,10,90,16,4096,0,22.0186111111
1,6,4,4,25,75,16,4096,0,29.9616666667
1,20,4,32,90,10,16,4096,0,42.4535135135
1,4,2,4,0,100,16,4096,0,0
1,30,2,8,75,25,16,4096,0,24.8583333333
1,4,1,8,50,50,16,4096,0,77.7586111111
1,4,2,16,100,0,16,4096,0,45.3533333333
1,6,4,4,100,0,16,4096,0,17.2808333333
1,30,4,8,75,25,16,4096,0,22.6386111111
1,8,2,4,0,100,16,4096,0,0
1,6,2,16,25,75,16,4096,0,49.7347222222
1,8,4,16,25,75,16,4096,0,37.2669444444
1,6,2,2,50,50,16,4096,0,29.7302777778
1,20,1,1,25,75,16,4096,0,56.4172222222
1,10,1,4,75,25,16,4096,0,22.9002777778
1,30,1,4,75,25,16,4096,0,43.9755555556
1,8,1,8,90,10,16,4096,0,27.5983333333
1,30,1,8,0,100,16,4096,0,0
1,20,1,1,100,0,16,4096,0,70.4130555556
1,30,2,8,0,100,16,4096,0,0
1,4,4,16,0,100,16,4096,0,0
1,4,1,2,10,90,16,4096,0,56.5133333333
1,8,2,4,90,10,16,4096,0,16.7475
1,10,4,16,25,75,16,4096,0,24.0221621622
1,10,2,8,50,50,16,4096,0,18.5524324324
1,8,2,4,50,50,16,4096,0,18.4711111111
1,8,1,4,10,90,16,4096,0,28.2916666667
1,10,1,1,25,75,16,4096,0,31.6222222222
1,20,1,2,75,25,16,4096,0,41.0944444444
1,6,4,4,90,10,16,4096,0,20.5586111111
1,10,1,2,75,25,16,4096,0,25.6636111111
1,20,4,16,50,50,16,4096,0,27.1536111111
1,10,4,4,0,100,16,4096,0,0
1,6,1,8,25,75,16,4096,0,39.2347222222
1,8,4,16,10,90,16,4096,0,42.0169444444
1,20,2,8,75,25,16,4096,0,29.7144444444
1,10,1,2,100,0,16,4096,0,24.2886111111
1,10,4,8,25,75,16,4096,0,17.4138888889
1,8,4,4,90,10,16,4096,0,13.1863888889
1,6,1,4,90,10,16,4096,0,30.1511111111
1,30,2,8,100,0,16,4096,0,24.7436111111
1,8,1,1,25,75,16,4096,0,31.7825
1,30,4,32,10,90,16,4096,0,54.2240540541
1,30,2,16,75,25,16,4096,0,30.2859459459
1,20,1,1,50,50,16,4096,0,43.6102777778
1,10,4,16,50,50,16,4096,0,21.3464864865
1,8,1,2,25,75,16,4096,0,31.4802777778
1,20,4,4,90,10,16,4096,0,22.6997222222
1,20,2,4,50,50,16,4096,0,34.7647222222
1,20,2,8,0,100,16,4096,0,0
1,8,4,16,100,0,16,4096,0,18.7302777778
1,4,2,2,90,10,16,4096,0,31.9444444444
1,30,2,8,25,75,16,4096,0,33.4977777778
1,4,1,2,50,50,16,4096,0,47.7911111111
1,6,4,8,50,50,16,4096,0,21.4877777778
1,8,4,32,25,75,16,4096,0,74.3202777778
1,8,2,2,90,10,16,4096,0,15.3075
1,8,1,1,75,25,16,4096,0,24.6763888889
1,20,1,1,10,90,16,4096,0,64.5108333333
1,30,4,4,0,100,16,4096,0,0
1,30,2,4,50,50,16,4096,0,26.2786111111
1,10,4,8,75,25,16,4096,0,16.4811111111
1,6,2,4,90,10,16,4096,0,22.6272222222
1,8,1,8,25,75,16,4096,0,26.2575
1,4,2,16,10,90,16,4096,0,120.2191666667
1,6,2,8,90,10,16,4096,0,25.7272222222
1,4,4,8,100,0,16,4096,0,32.5452777778
1,10,1,2,25,75,16,4096,0,28.7352777778
1,10,4,4,100,0,16,4096,0,11.4452777778
1,20,4,8,10,90,16,4096,0,29.0022222222
1,6,1,8,10,90,16,4096,0,47.2161111111
1,4,4,32,100,0,16,4096,0,68.2588888889
1,30,2,2,75,25,16,4096,0,26.7988888889
1,10,2,8,10,90,16,4096,0,20.6255555556
1,4,2,4,90,10,16,4096,0,35.1866666667
1,10,1,1,100,0,16,4096,0,36.2572222222
1,10,4,16,0,100,16,4096,0,0
1,10,1,1,0,100,16,4096,0,0
1,30,2,16,25,75,16,4096,0,55.1366666667
1,6,1,8,90,10,16,4096,0,35.3722222222
1,20,2,16,25,75,16,4096,0,34.5336111111
1,4,1,2,75,25,16,4096,0,39.5266666667
1,6,4,32,0,100,16,4096,0,0
1,20,2,2,10,90,16,4096,0,53.6447222222
1,4,1,4,0,100,16,4096,0,0
1,4,2,2,50,50,16,4096,0,47.0147222222
1,30,1,2,100,0,16,4096,0,36.6616666667
1,20,2,4,25,75,16,4096,0,34.0302777778
1,6,4,8,75,25,16,4096,0,20.9111111111
1,8,2,16,75,25,16,4096,0,24.2738888889
1,20,1,4,90,10,16,4096,0,38.2347222222
1,8,1,8,100,0,16,4096,0,27.8561111111
1,10,2,8,90,10,16,4096,0,18.4866666667
1,6,2,2,90,10,16,4096,0,21.2080555556
1,8,4,16,75,25,16,4096,0,51.3730555556
1,8,4,32,10,90,16,4096,0,85.3913513514
1,10,2,16,75,25,16,4096,0,22.9105555556
1,30,1,2,0,100,16,4096,0,0
1,30,4,8,10,90,16,4096,0,41.9833333333
1,6,2,2,100,0,16,4096,0,18.68
1,8,4,4,100,0,16,4096,0,11.9619444444
1,8,2,2,0,100,16,4096,0,0
1,4,4,32,0,100,16,4096,0,0
1,6,4,8,10,90,16,4096,0,31.115
1,10,1,8,0,100,16,4096,0,0
1,6,4,16,25,75,16,4096,0,40.2733333333
1,8,1,4,75,25,16,4096,0,24.3363888889
1,8,2,8,10,90,16,4096,0,20.9716216216
1,30,4,4,75,25,16,4096,0,22.8527777778
1,10,1,4,0,100,16,4096,0,0
1,30,1,1,0,100,16,4096,0,0
1,10,2,16,100,0,16,4096,0,26.6663888889
1,8,2,8,75,25,16,4096,0,19.7894444444
1,30,2,8,90,10,16,4096,0,25.1313888889
1,6,4,16,75,25,16,4096,0,27.7091666667
1,30,1,2,50,50,16,4096,0,50.0877777778
1,20,4,8,25,75,16,4096,0,26.1641666667
1,8,4,8,100,0,16,4096,0,13.4638888889
1,10,1,4,90,10,16,4096,0,22.2127777778
1,4,4,16,75,25,16,4096,0,57.0552777778
1,4,1,4,75,25,16,4096,0,43.4538888889
1,30,2,8,10,90,16,4096,0,38.2819444444
1,30,1,4,25,75,16,4096,0,45.6261111111
1,8,2,8,100,0,16,4096,0,18.1825
1,4,4,4,0,100,16,4096,0,0
1,30,2,4,100,0,16,4096,0,19.8608333333
1,10,1,1,10,90,16,4096,0,35.7177777778
1,20,4,4,100,0,16,4096,0,19.0813888889
1,8,2,8,25,75,16,4096,0,18.1245945946
1,6,2,8,100,0,16,4096,0,20.8741666667
1,6,2,8,0,100,16,4096,0,0
1,4,2,4,25,75,16,4096,0,60.5705555556
1,30,2,4,25,75,16,4096,0,26.7086111111
1,6,1,1,25,75,16,4096,0,38.8005555556
1,10,2,4,50,50,16,4096,0,15.6358333333
1,6,1,1,0,100,16,4096,0,0
1,30,2,4,90,10,16,4096,0,22.8258333333
1,10,2,4,25,75,16,4096,0,16.6216666667
1,30,2,2,90,10,16,4096,0,24.0405555556
1,4,4,4,25,75,16,4096,0,62.9686111111
1,4,2,2,0,100,16,4096,0,0
1,30,4,16,50,50,16,4096,0,30.8813888889
1,8,1,1,10,90,16,4096,0,36.3422222222
1,8,2,2,75,25,16,4096,0,17.0333333333
1,10,2,4,75,25,16,4096,0,15.7458333333
1,20,2,2,0,100,16,4096,0,0
1,6,2,8,25,75,16,4096,0,51.6177777778
1,20,2,16,100,0,16,4096,0,53.7975
1,10,1,2,10,90,16,4096,0,28.7163888889
1,20,2,2,25,75,16,4096,0,48.7425
1,20,1,8,75,25,16,4096,0,43.1656756757
1,30,1,8,90,10,16,4096,0,36.7463888889
1,20,4,32,50,50,16,4096,0,28.4613888889
1,4,1,8,25,75,16,4096,0,72.0625
1,10,2,2,100,0,16,4096,0,13.4391666667
1,20,2,4,0,100,16,4096,0,0
1,4,4,16,90,10,16,4096,0,53.8252777778
1,4,4,32,25,75,16,4096,0,193.0322222222
1,8,1,1,50,50,16,4096,0,27.6116666667
1,10,4,4,50,50,16,4096,0,16.0672222222
1,4,4,8,75,25,16,4096,0,47.785
1,10,4,32,25,75,16,4096,0,75.0891891892
1,30,2,2,10,90,16,4096,0,39.31
1,30,4,8,50,50,16,4096,0,24.9697222222
1,4,4,4,90,10,16,4096,0,36.4497222222
1,8,4,4,0,100,16,4096,0,0
1,20,2,8,90,10,16,4096,0,32.5972972973
1,4,2,8,75,25,16,4096,0,50.1347222222
1,4,4,4,75,25,16,4096,0,44.32
1,10,1,2,0,100,16,4096,0,0
1,20,2,8,100,0,16,4096,0,38.7488888889
1,30,4,32,25,75,16,4096,0,33.7463888889
1,10,2,2,0,100,16,4096,0,0
1,6,2,8,50,50,16,4096,0,32.6547222222
1,20,2,4,75,25,16,4096,0,31.2436111111
1,10,2,2,50,50,16,4096,0,15.7455555556
1,4,4,8,10,90,16,4096,0,75.1558333333
1,30,2,16,50,50,16,4096,0,28.9697222222
1,4,2,4,75,25,16,4096,0,42.1608333333
1,8,1,2,75,25,16,4096,0,26.2177777778
1,4,2,4,100,0,16,4096,0,28.2152777778
1,10,2,2,90,10,16,4096,0,13.7077777778
1,6,4,32,25,75,16,4096,0,100.1919444444
1,8,4,16,50,50,16,4096,0,34.8433333333
1,30,1,2,10,90,16,4096,0,74.9036111111
1,20,1,2,90,10,16,4096,0,38.0255555556
1,8,1,8,0,100,16,4096,0,0
1,20,4,16,75,25,16,4096,0,27.6213888889
1,20,1,8,90,10,16,4096,0,41.8711111111
1,20,1,2,100,0,16,4096,0,38.8969444444
1,10,4,4,90,10,16,4096,0,12.8102777778
1,30,1,8,50,50,16,4096,0,37.6972972973
1,20,1,4,10,90,16,4096,0,54.0605555556
1,6,2,4,75,25,16,4096,0,24.5486111111
1,20,2,8,50,50,16,4096,0,28.8269444444
1,30,2,4,0,100,16,4096,0,0
1,6,2,2,10,90,16,4096,0,38.2952777778
1,4,1,8,10,90,16,4096,0,85.9936111111
