,mon,osd,driver,worker,read,write,container,object,size,throughput-write
1mon4osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151124212749,1,4,4,32,50,50,16,4096,0,65.7864864864865
1mon10osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151124002009,1,10,4,32,75,25,16,4096,0,74.71783783783783
1mon30osd_1driver_25read75write0delete_1worker_16container_4096object_512KB_180sec_20151123013804,1,30,1,1,25,75,16,4096,0,19.66222222222222
1mon6osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124085438,1,6,1,2,50,50,16,4096,0,27.29361111111111
1mon10osd_2driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123211756,1,10,2,8,100,0,16,4096,0,0.0
1mon6osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124113411,1,6,2,8,75,25,16,4096,0,55.193333333333335
1mon8osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124032835,1,8,2,2,50,50,16,4096,0,35.098055555555554
1mon10osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124000021,1,10,4,16,10,90,16,4096,0,79.08944444444444
1mon10osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123195610,1,10,1,8,25,75,16,4096,0,77.73388888888888
1mon6osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124130651,1,6,4,8,100,0,16,4096,0,0.0
1mon20osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123113603,1,20,2,2,90,10,16,4096,0,7.214999999999999
1mon6osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124140955,1,6,4,16,0,100,16,4096,0,79.84416666666667
1mon8osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124045010,1,8,2,8,0,100,16,4096,0,77.8563888888889
1mon10osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123234011,1,10,4,16,90,10,16,4096,0,59.76888888888888
1mon30osd_1driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123025555,1,30,1,4,10,90,16,4096,0,65.51027777777779
1mon8osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151124071508,1,8,4,32,100,0,16,4096,0,0.0
1mon20osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123121036,1,20,2,4,90,10,16,4096,0,13.555833333333332
1mon10osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151123202022,1,10,2,2,75,25,16,4096,0,25.624999999999996
1mon8osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124041121,1,8,2,4,10,90,16,4096,0,71.48722222222221
1mon6osd_4driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124125209,1,6,4,4,25,75,16,4096,0,63.57472222222222
1mon20osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151123154752,1,20,4,32,90,10,16,4096,0,58.82027027027027
1mon4osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124182122,1,4,2,4,0,100,16,4096,0,68.6127777777778
