,mon,osd,driver,worker,read,write,container,object,size,throughput-write
1mon10osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124003026,1,10,4,32,25,75,16,4096,0,73.77945945945946
1mon30osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123040952,1,30,2,2,10,90,16,4096,0,43.37555555555556
1mon30osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123070925,1,30,4,8,50,50,16,4096,0,71.29444444444442
1mon4osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124193748,1,4,4,4,90,10,16,4096,0,11.212222222222225
1mon8osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124055819,1,8,4,4,0,100,16,4096,0,72.24555555555555
1mon20osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123124542,1,20,2,8,90,10,16,4096,0,24.635945945945945
1mon4osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124183515,1,4,2,8,75,25,16,4096,0,38.310277777777785
1mon4osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124194222,1,4,4,4,75,25,16,4096,0,23.135555555555555
1mon10osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123185859,1,10,1,2,0,100,16,4096,0,48.331944444444446
1mon20osd_2driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123124047,1,20,2,8,100,0,16,4096,0,0.0
1mon30osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151123083209,1,30,4,32,25,75,16,4096,0,74.54972222222221
1mon10osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123203918,1,10,2,2,0,100,16,4096,0,48.06111111111111
1mon6osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124113859,1,6,2,8,50,50,16,4096,0,71.88722222222222
1mon20osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123121532,1,20,2,4,75,25,16,4096,0,30.843333333333337
1mon10osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123202502,1,10,2,2,50,50,16,4096,0,37.06333333333333
1mon4osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124203002,1,4,4,8,10,90,16,4096,0,70.56666666666666
1mon30osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123055138,1,30,2,16,50,50,16,4096,0,74.48138888888889
1mon4osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124180233,1,4,2,4,75,25,16,4096,0,23.89361111111111
1mon8osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124014456,1,8,1,2,75,25,16,4096,0,17.360555555555557
1mon4osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124175333,1,4,2,4,100,0,16,4096,0,0.0
1mon10osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123201545,1,10,2,2,90,10,16,4096,0,12.633055555555554
1mon6osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124143420,1,6,4,32,25,75,16,4096,0,78.24805555555557
1mon8osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124065448,1,8,4,16,50,50,16,4096,0,75.64277777777778
1mon30osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123021915,1,30,1,2,10,90,16,4096,0,42.31250000000001
1mon20osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123095028,1,20,1,2,90,10,16,4096,0,5.363333333333333
1mon8osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124030950,1,8,1,8,0,100,16,4096,0,77.14888888888888
1mon20osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123151611,1,20,4,16,75,25,16,4096,0,73.52944444444444
1mon20osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123105959,1,20,1,8,90,10,16,4096,0,19.64944444444445
1mon20osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123094529,1,20,1,2,100,0,16,4096,0,0.0
1mon10osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123223127,1,10,4,4,90,10,16,4096,0,25.843888888888888
1mon30osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123032210,1,30,1,8,50,50,16,4096,0,67.93432432432432
1mon20osd_1driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123104452,1,20,1,4,10,90,16,4096,0,63.65694444444445
1mon6osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124110059,1,6,2,4,75,25,16,4096,0,33.96416666666667
1mon20osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123125552,1,20,2,8,50,50,16,4096,0,69.78805555555554
1mon30osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123045212,1,30,2,4,0,100,16,4096,0,65.80222222222224
1mon6osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124104223,1,6,2,2,10,90,16,4096,0,46.97
1mon4osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124171139,1,4,1,8,10,90,16,4096,0,68.65694444444445
1mon30osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151123075858,1,30,4,16,10,90,16,4096,0,75.7136111111111
1mon20osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123130100,1,20,2,8,25,75,16,4096,0,75.50722222222223
1mon20osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123142859,1,20,4,8,100,0,16,4096,0,0.0
1mon30osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151123082637,1,30,4,32,50,50,16,4096,0,73.44702702702702
1mon8osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124043523,1,8,2,8,50,50,16,4096,0,77.13027777777778
1mon10osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123191740,1,10,1,4,50,50,16,4096,0,55.164722222222224
1mon30osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123044652,1,30,2,4,10,90,16,4096,0,64.31666666666666
1mon8osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124061240,1,8,4,8,75,25,16,4096,0,69.91472222222221
1mon8osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124052405,1,8,2,16,0,100,16,4096,0,80.68944444444443
1mon8osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124015841,1,8,1,2,10,90,16,4096,0,46.15222222222223
1mon4osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151124151038,1,4,1,1,100,0,16,4096,0,0.0
1mon10osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123192227,1,10,1,4,25,75,16,4096,0,66.91638888888889
1mon8osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124035652,1,8,2,4,75,25,16,4096,0,39.64305555555555
1mon20osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123100956,1,20,1,2,10,90,16,4096,0,41.83722222222222
1mon6osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124110538,1,6,2,4,50,50,16,4096,0,53.95055555555556
1mon4osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124164630,1,4,1,8,100,0,16,4096,0,0.0
1mon20osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123102950,1,20,1,4,75,25,16,4096,0,24.277777777777782
1mon10osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123204845,1,10,2,4,90,10,16,4096,0,23.444444444444443
1mon4osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124162732,1,4,1,4,50,50,16,4096,0,41.81527777777778
1mon10osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123220638,1,10,2,16,50,50,16,4096,0,75.85666666666667
1mon20osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123151054,1,20,4,16,90,10,16,4096,0,43.487837837837844
1mon30osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151123014309,1,30,1,1,10,90,16,4096,0,24.49833333333333
1mon4osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124165100,1,4,1,8,90,10,16,4096,0,16.38222222222222
1mon8osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151124013113,1,8,1,1,0,100,16,4096,0,29.970000000000002
1mon20osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151123094030,1,20,1,1,0,100,16,4096,0,29.041944444444443
1mon8osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124040628,1,8,2,4,25,75,16,4096,0,68.34444444444445
1mon6osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124124716,1,6,4,4,50,50,16,4096,0,54.56111111111111
1mon10osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151123180330,1,10,1,1,90,10,16,4096,0,4.025277777777777
1mon10osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123204409,1,10,2,4,100,0,16,4096,0,0.0
1mon10osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123214710,1,10,2,8,0,100,16,4096,0,78.29166666666666
1mon30osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123061356,1,30,4,4,100,0,16,4096,0,0.0
1mon4osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124185430,1,4,2,8,0,100,16,4096,0,70.04166666666669
1mon8osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124071948,1,8,4,32,90,10,16,4096,0,66.75783783783785
1mon4osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151124153305,1,4,1,1,10,90,16,4096,0,27.8275
1mon20osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123123033,1,20,2,4,10,90,16,4096,0,64.28833333333333
1mon20osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123134735,1,20,2,16,0,100,16,4096,0,77.0538888888889
1mon20osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123113113,1,20,2,2,100,0,16,4096,0,0.0
1mon8osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124051408,1,8,2,16,25,75,16,4096,0,78.10702702702702
1mon8osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124063240,1,8,4,8,0,100,16,4096,0,76.27277777777778
1mon10osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123212723,1,10,2,8,75,25,16,4096,0,63.64388888888888
1mon4osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124172129,1,4,2,2,100,0,16,4096,0,0.0
1mon4osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151124153737,1,4,1,1,0,100,16,4096,0,34.10527777777777
1mon6osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124140500,1,6,4,16,10,90,16,4096,0,76.99083333333334
1mon8osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124014927,1,8,1,2,50,50,16,4096,0,30.926388888888894
1mon6osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124121259,1,6,2,16,50,50,16,4096,0,73.53305555555555
1mon10osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124001511,1,10,4,32,90,10,16,4096,0,71.62055555555554
1mon20osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123104955,1,20,1,4,0,100,16,4096,0,68.24166666666665
1mon6osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124114858,1,6,2,8,10,90,16,4096,0,73.90416666666667
1mon8osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151124074512,1,8,4,32,0,100,16,4096,0,76.96351351351353
1mon30osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123031652,1,30,1,8,75,25,16,4096,0,49.1475
1mon10osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123183538,1,10,1,2,90,10,16,4096,0,7.90888888888889
1mon4osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124173931,1,4,2,2,25,75,16,4096,0,35.63138888888889
1mon8osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124051907,1,8,2,16,10,90,16,4096,0,77.63297297297296
1mon10osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123233021,1,10,4,8,0,100,16,4096,0,76.18783783783783
1mon6osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124103745,1,6,2,2,25,75,16,4096,0,41.05916666666666
1mon10osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123234514,1,10,4,16,75,25,16,4096,0,76.52694444444442
1mon30osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123065830,1,30,4,8,90,10,16,4096,0,31.245277777777776
1mon4osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151124203954,1,4,4,16,100,0,16,4096,0,0.0
1mon6osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124105152,1,6,2,4,100,0,16,4096,0,0.0
1mon10osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123230055,1,10,4,8,100,0,16,4096,0,0.0
1mon8osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124021244,1,8,1,4,90,10,16,4096,0,16.31361111111111
1mon4osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124160004,1,4,1,2,25,75,16,4096,0,36.80638888888889
1mon30osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151123011618,1,30,1,1,100,0,16,4096,0,0.0
1mon20osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151123155322,1,20,4,32,75,25,16,4096,0,75.02694444444444
1mon30osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151123081006,1,30,4,32,100,0,16,4096,0,0.0
1mon30osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123060801,1,30,2,16,0,100,16,4096,0,75.37432432432433
1mon20osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123153733,1,20,4,16,0,100,16,4096,0,77.16000000000001
1mon4osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124203500,1,4,4,8,0,100,16,4096,0,71.025
1mon8osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124064310,1,8,4,16,90,10,16,4096,0,58.6236111111111
1mon30osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123071459,1,30,4,8,25,75,16,4096,0,75.40305555555555
1mon20osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123133157,1,20,2,16,50,50,16,4096,0,72.67081081081082
1mon6osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151124081355,1,6,1,1,90,10,16,4096,0,3.613611111111111
1mon4osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124184938,1,4,2,8,10,90,16,4096,0,68.26277777777779
1mon6osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124090834,1,6,1,2,0,100,16,4096,0,49.101388888888884
1mon10osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151124001025,1,10,4,32,100,0,16,4096,0,0.0
1mon20osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123150555,1,20,4,16,100,0,16,4096,0,0.0
1mon4osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151124151937,1,4,1,1,75,25,16,4096,0,7.65611111111111
1mon10osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123193709,1,10,1,8,100,0,16,4096,0,0.0
1mon4osd_4driver_10read90write0delete_32worker_16container_4096object_512KB_180sec_20151124213747,1,4,4,32,10,90,16,4096,0,67.61729729729731
1mon30osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151123084303,1,30,4,32,0,100,16,4096,0,72.62729729729729
1mon4osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124161359,1,4,1,4,100,0,16,4096,0,0.0
1mon4osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124183042,1,4,2,8,90,10,16,4096,0,17.80833333333333
1mon6osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124112008,1,6,2,4,0,100,16,4096,0,70.40749999999998
1mon20osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123144431,1,20,4,8,50,50,16,4096,0,72.7864864864865
1mon8osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124023617,1,8,1,4,0,100,16,4096,0,71.18351351351352
1mon20osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151123092103,1,20,1,1,75,25,16,4096,0,6.821666666666666
1mon10osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123213721,1,10,2,8,25,75,16,4096,0,75.63361111111111
1mon10osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123225055,1,10,4,4,10,90,16,4096,0,69.185
1mon8osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124042548,1,8,2,8,90,10,16,4096,0,34.49194444444445
1mon20osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123111525,1,20,1,8,25,75,16,4096,0,73.06216216216217
1mon30osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123033301,1,30,1,8,10,90,16,4096,0,74.69305555555556
1mon4osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124191814,1,4,2,16,25,75,16,4096,0,69.40444444444444
1mon20osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151123091611,1,20,1,1,90,10,16,4096,0,2.8202777777777777
1mon30osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123065253,1,30,4,8,100,0,16,4096,0,0.0
1mon4osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124201055,1,4,4,8,90,10,16,4096,0,18.074722222222224
1mon4osd_4driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124205853,1,4,4,16,25,75,16,4096,0,69.95722222222224
1mon30osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123080427,1,30,4,16,0,100,16,4096,0,77.73083333333332
1mon4osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124154638,1,4,1,2,90,10,16,4096,0,6.185
1mon30osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123035926,1,30,2,2,50,50,16,4096,0,29.12277777777778
1mon10osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123223613,1,10,4,4,75,25,16,4096,0,44.16500000000001
1mon30osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123022947,1,30,1,4,100,0,16,4096,0,0.0
1mon20osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123150033,1,20,4,8,0,100,16,4096,0,79.74916666666667
1mon10osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123221133,1,10,2,16,25,75,16,4096,0,77.21250000000002
1mon4osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124194700,1,4,4,4,50,50,16,4096,0,41.708055555555546
1mon30osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123043057,1,30,2,4,75,25,16,4096,0,34.86611111111111
1mon30osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123074225,1,30,4,16,75,25,16,4096,0,73.36111111111111
1mon20osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123130612,1,20,2,8,10,90,16,4096,0,76.6902777777778
1mon6osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124135505,1,6,4,16,50,50,16,4096,0,75.98027777777777
1mon4osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124190833,1,4,2,16,75,25,16,4096,0,52.23527777777778
1mon20osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123100011,1,20,1,2,50,50,16,4096,0,23.385555555555552
1mon30osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123024528,1,30,1,4,50,50,16,4096,0,43.91361111111112
1mon10osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123203432,1,10,2,2,10,90,16,4096,0,47.013333333333335
1mon4osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124171626,1,4,1,8,0,100,16,4096,0,69.45277777777778
1mon30osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123041515,1,30,2,2,0,100,16,4096,0,46.629999999999995
1mon6osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151124142421,1,6,4,32,75,25,16,4096,0,73.09972222222221
1mon6osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124092225,1,6,1,4,75,25,16,4096,0,27.910833333333333
1mon4osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124165531,1,4,1,8,75,25,16,4096,0,26.111351351351352
1mon8osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124054336,1,8,4,4,50,50,16,4096,0,61.760000000000005
1mon6osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124122752,1,6,2,16,0,100,16,4096,0,76.27540540540541
1mon10osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123200106,1,10,1,8,10,90,16,4096,0,76.27583333333334
1mon8osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151124072958,1,8,4,32,50,50,16,4096,0,73.92405405405404
1mon10osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123222124,1,10,2,16,0,100,16,4096,0,77.64722222222221
1mon6osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124111027,1,6,2,4,25,75,16,4096,0,64.3172222222222
1mon6osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124141926,1,6,4,32,90,10,16,4096,0,69.78777777777776
1mon30osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123032736,1,30,1,8,25,75,16,4096,0,75.51333333333334
1mon8osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124030500,1,8,1,8,10,90,16,4096,0,77.97805555555556
1mon6osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124131125,1,6,4,8,90,10,16,4096,0,33.37916666666666
1mon10osd_2driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123215642,1,10,2,16,90,10,16,4096,0,52.36305555555557
1mon10osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123233526,1,10,4,16,100,0,16,4096,0,0.0
1mon4osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124195635,1,4,4,4,10,90,16,4096,0,65.41583333333334
1mon30osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123061904,1,30,4,4,90,10,16,4096,0,17.31222222222222
1mon10osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123184448,1,10,1,2,50,50,16,4096,0,31.735555555555557
1mon10osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151123180803,1,10,1,1,75,25,16,4096,0,9.206111111111113
1mon8osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124061735,1,8,4,8,50,50,16,4096,0,76.7938888888889
1mon6osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124125703,1,6,4,4,10,90,16,4096,0,70.43194444444445
1mon20osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123142344,1,20,4,4,0,100,16,4096,0,65.80527777777777
1mon4osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124191324,1,4,2,16,50,50,16,4096,0,64.79555555555555
1mon6osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124134519,1,6,4,16,90,10,16,4096,0,50.78944444444444
1mon20osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123111019,1,20,1,8,50,50,16,4096,0,67.17388888888888
1mon4osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124205359,1,4,4,16,50,50,16,4096,0,66.37833333333334
1mon30osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151123082056,1,30,4,32,75,25,16,4096,0,73.64783783783786
1mon6osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124093142,1,6,1,4,25,75,16,4096,0,63.75472222222221
1mon6osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124104706,1,6,2,2,0,100,16,4096,0,51.78138888888889
1mon6osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151124081827,1,6,1,1,75,25,16,4096,0,8.150277777777779
1mon4osd_1driver_25read75write0delete_1worker_16container_4096object_512KB_180sec_20151124152835,1,4,1,1,25,75,16,4096,0,21.826111111111107
1mon4osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124161831,1,4,1,4,90,10,16,4096,0,10.802777777777779
1mon20osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151123161441,1,20,4,32,0,100,16,4096,0,77.0797222222222
1mon30osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123030628,1,30,1,8,100,0,16,4096,0,0.0
1mon8osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124031454,1,8,2,2,100,0,16,4096,0,0.0
1mon4osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124202508,1,4,4,8,25,75,16,4096,0,68.54777777777778
1mon4osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151124151511,1,4,1,1,90,10,16,4096,0,3.471111111111112
1mon8osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124062230,1,8,4,8,25,75,16,4096,0,77.58388888888888
1mon10osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123230534,1,10,4,8,90,10,16,4096,0,41.75694444444445
1mon30osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123034407,1,30,2,2,100,0,16,4096,0,0.0
1mon4osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124184447,1,4,2,8,25,75,16,4096,0,68.51583333333333
1mon8osd_2driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124045936,1,8,2,16,90,10,16,4096,0,50.51027777777778
1mon8osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124025518,1,8,1,8,50,50,16,4096,0,73.62777777777778
1mon6osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124102836,1,6,2,2,75,25,16,4096,0,18.21722222222222
1mon4osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124180707,1,4,2,4,50,50,16,4096,0,43.77194444444445
1mon30osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151123012242,1,30,1,1,90,10,16,4096,0,2.203611111111111
1mon10osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123195118,1,10,1,8,50,50,16,4096,0,74.815
