$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-read
1,30,1,8,0,100,16,4096,0,0
1,20,1,1,100,0,16,4096,0,74.2222222222
1,30,2,8,0,100,16,4096,0,0
1,4,4,16,0,100,16,4096,0,0
1,4,1,2,10,90,16,4096,0,25.2777777778
1,8,2,4,90,10,16,4096,0,947.4444444444
1,10,4,16,25,75,16,4096,0,131.2972972973
1,10,2,8,50,50,16,4096,0,372.2972972973
1,8,2,4,50,50,16,4096,0,286.6944444444
1,8,1,4,10,90,16,4096,0,37.7777777778
1,10,1,1,25,75,16,4096,0,35.9722222222
1,20,1,2,75,25,16,4096,0,187.6944444444
1,6,4,4,90,10,16,4096,0,790.7222222222
1,10,1,2,75,25,16,4096,0,265.0555555556
1,20,4,16,50,50,16,4096,0,367.5833333333
1,10,4,4,0,100,16,4096,0,0
1,6,1,8,25,75,16,4096,0,126
1,8,4,16,10,90,16,4096,0,40.8611111111
1,20,2,8,75,25,16,4096,0,786.3333333333
1,10,1,2,100,0,16,4096,0,402.0555555556
1,10,4,8,25,75,16,4096,0,120
1,8,4,4,90,10,16,4096,0,1120.1111111111
1,6,1,4,90,10,16,4096,0,573.9444444444
1,30,2,8,100,0,16,4096,0,1604.4444444445
1,8,1,1,25,75,16,4096,0,36.3888888889
1,30,4,32,10,90,16,4096,0,39.2972972973
1,30,2,16,75,25,16,4096,0,1013.9189189189
1,20,1,1,50,50,16,4096,0,63.2777777778
1,10,4,16,50,50,16,4096,0,381.9189189189
1,8,1,2,25,75,16,4096,0,64.6111111111
1,20,4,4,90,10,16,4096,0,731.4444444444
1,20,2,4,50,50,16,4096,0,232.1666666667
1,20,2,8,0,100,16,4096,0,0
1,8,4,16,100,0,16,4096,0,4210.9722222222
1,4,2,2,90,10,16,4096,0,269
1,30,2,8,25,75,16,4096,0,121.0277777778
1,4,1,2,50,50,16,4096,0,116.8333333333
1,6,4,8,50,50,16,4096,0,354.7777777778
1,8,4,32,25,75,16,4096,0,126.4722222222
1,8,2,2,90,10,16,4096,0,523.9722222222
1,8,1,1,75,25,16,4096,0,134.5833333333
1,20,1,1,10,90,16,4096,0,14.3611111111
1,30,4,4,0,100,16,4096,0,0
1,30,2,4,50,50,16,4096,0,254.4722222222
1,10,4,8,75,25,16,4096,0,971.5277777778
1,6,2,4,90,10,16,4096,0,724.0833333333
1,8,1,8,25,75,16,4096,0,122.8888888889
1,4,2,16,10,90,16,4096,0,39.25
1,6,2,8,90,10,16,4096,0,1243.5833333333
1,4,4,8,100,0,16,4096,0,1213.6388888889
1,10,1,2,25,75,16,4096,0,67.0555555556
1,10,4,4,100,0,16,4096,0,1755.0277777778
1,20,4,8,10,90,16,4096,0,42.75
1,6,1,8,10,90,16,4096,0,41.8055555556
1,4,4,32,100,0,16,4096,0,2341.8888888889
1,30,2,2,75,25,16,4096,0,246.5
1,10,2,8,10,90,16,4096,0,41.3055555556
1,4,2,4,90,10,16,4096,0,500.1666666667
1,10,1,1,100,0,16,4096,0,135.8055555556
1,10,4,16,0,100,16,4096,0,0
1,10,1,1,0,100,16,4096,0,0
1,30,2,16,25,75,16,4096,0,118.4722222222
1,6,1,8,90,10,16,4096,0,965.9444444444
1,20,2,16,25,75,16,4096,0,127.0555555556
1,4,1,2,75,25,16,4096,0,189.8333333333
1,6,4,32,0,100,16,4096,0,0
1,20,2,2,10,90,16,4096,0,22.9444444444
1,4,1,4,0,100,16,4096,0,0
1,4,2,2,50,50,16,4096,0,119.75
1,30,1,2,100,0,16,4096,0,267.4166666667
1,20,2,4,25,75,16,4096,0,96.6388888889
1,6,4,8,75,25,16,4096,0,897.9166666667
1,8,2,16,75,25,16,4096,0,1130.7777777778
1,20,1,4,90,10,16,4096,0,465.1111111111
1,8,1,8,100,0,16,4096,0,1397.6944444445
1,10,2,8,90,10,16,4096,0,1608.2777777778
1,6,2,2,90,10,16,4096,0,383.5833333333
1,8,4,16,75,25,16,4096,0,894.8888888889
1,8,4,32,10,90,16,4096,0,40.1621621622
1,10,2,16,75,25,16,4096,0,1100.5
1,30,1,2,0,100,16,4096,0,0
1,30,4,8,10,90,16,4096,0,41.0555555556
1,6,2,2,100,0,16,4096,0,529.25
1,8,4,4,100,0,16,4096,0,1650.9166666667
1,8,2,2,0,100,16,4096,0,0
1,4,4,32,0,100,16,4096,0,0
1,6,4,8,10,90,16,4096,0,41.4444444444
1,10,1,8,0,100,16,4096,0,0
1,6,4,16,25,75,16,4096,0,129.25
1,8,1,4,75,25,16,4096,0,506.4722222222
1,8,2,8,10,90,16,4096,0,39.7567567568
1,30,4,4,75,25,16,4096,0,530.6666666667
1,10,1,4,0,100,16,4096,0,0
1,30,1,1,0,100,16,4096,0,0
1,10,2,16,100,0,16,4096,0,2922.4166666667
1,8,2,8,75,25,16,4096,0,919
1,30,2,8,90,10,16,4096,0,1304
1,6,4,16,75,25,16,4096,0,1050.5
1,30,1,2,50,50,16,4096,0,114.9166666667
1,20,4,8,25,75,16,4096,0,125.2777777778
1,8,4,8,100,0,16,4096,0,2975.4722222222
1,10,1,4,90,10,16,4096,0,751.75
1,4,4,16,75,25,16,4096,0,790
1,4,1,4,75,25,16,4096,0,342.7222222222
1,30,2,8,10,90,16,4096,0,42.3333333333
1,30,1,4,25,75,16,4096,0,98.5
1,8,2,8,100,0,16,4096,0,2123.0833333333
1,4,4,4,0,100,16,4096,0,0
1,30,2,4,100,0,16,4096,0,977.3611111111
1,10,1,1,10,90,16,4096,0,13.8888888889
1,20,4,4,100,0,16,4096,0,1040.6111111111
1,8,2,8,25,75,16,4096,0,127.0540540541
1,6,2,8,100,0,16,4096,0,1860.0555555556
1,6,2,8,0,100,16,4096,0,0
1,4,2,4,25,75,16,4096,0,97.1666666667
1,30,2,4,25,75,16,4096,0,100.5277777778
1,6,1,1,25,75,16,4096,0,34.8888888889
1,10,2,4,50,50,16,4096,0,286.5833333333
1,6,1,1,0,100,16,4096,0,0
1,30,2,4,90,10,16,4096,0,729.0833333333
1,10,2,4,25,75,16,4096,0,111.4166666667
1,30,2,2,90,10,16,4096,0,341.9722222222
1,4,4,4,25,75,16,4096,0,93.4166666667
1,4,2,2,0,100,16,4096,0,0
1,30,4,16,50,50,16,4096,0,359.6111111111
1,8,1,1,10,90,16,4096,0,14.8055555556
1,8,2,2,75,25,16,4096,0,344.1944444444
1,10,2,4,75,25,16,4096,0,624.8055555556
1,20,2,2,0,100,16,4096,0,0
1,6,2,8,25,75,16,4096,0,116.3611111111
1,20,2,16,100,0,16,4096,0,1834.0833333333
1,10,1,2,10,90,16,4096,0,25.5277777778
1,20,2,2,25,75,16,4096,0,58.1111111111
1,20,1,8,75,25,16,4096,0,650.6486486486
1,30,1,8,90,10,16,4096,0,947.1111111111
1,20,4,32,50,50,16,4096,0,376.75
1,4,1,8,25,75,16,4096,0,110.0555555556
1,10,2,2,100,0,16,4096,0,736.1111111111
1,20,2,4,0,100,16,4096,0,0
1,4,4,16,90,10,16,4096,0,1245.6666666667
1,4,4,32,25,75,16,4096,0,114.9722222222
