$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,4,2,4,90,10,16,4096,0,35.5094444444
1,10,1,1,100,0,16,4096,0,0
1,10,4,16,0,100,16,4096,0,203.39
1,10,1,1,0,100,16,4096,0,32.3955555556
1,30,2,16,25,75,16,4096,0,217.5786111111
1,6,1,8,90,10,16,4096,0,45.8175
1,20,2,16,25,75,16,4096,0,197.3319444444
1,4,1,2,75,25,16,4096,0,31.8466666667
1,6,4,32,0,100,16,4096,0,400.8332432432
1,20,2,2,10,90,16,4096,0,40.5866666667
1,4,1,4,0,100,16,4096,0,56.1838888889
1,4,2,2,50,50,16,4096,0,35.415
1,30,1,2,100,0,16,4096,0,0
1,20,2,4,25,75,16,4096,0,55.1158333333
1,6,4,8,75,25,16,4096,0,67.1469444444
1,8,2,16,75,25,16,4096,0,135.0819444444
1,20,1,4,90,10,16,4096,0,35.0577777778
1,8,1,8,100,0,16,4096,0,0
1,10,2,8,90,10,16,4096,0,50.5722222222
1,6,2,2,90,10,16,4096,0,30.9952777778
1,8,4,16,75,25,16,4096,0,246.8866666667
1,8,4,32,10,90,16,4096,0,397.0097297297
1,10,2,16,75,25,16,4096,0,146.3827777778
1,30,1,2,0,100,16,4096,0,41.0413888889
1,30,4,8,10,90,16,4096,0,102.6669444444
1,6,2,2,100,0,16,4096,0,0
1,8,4,4,100,0,16,4096,0,0
1,8,2,2,0,100,16,4096,0,39.5127777778
1,4,4,32,0,100,16,4096,0,453.3851351351
1,6,4,8,10,90,16,4096,0,98.1886111111
1,10,1,8,0,100,16,4096,0,103.0161111111
1,6,4,16,25,75,16,4096,0,186.0869444444
1,8,1,4,75,25,16,4096,0,42.1566666667
1,8,2,8,10,90,16,4096,0,102.4143243243
1,30,4,4,75,25,16,4096,0,42.2708333333
1,10,1,4,0,100,16,4096,0,55.8861111111
1,30,1,1,0,100,16,4096,0,33.1280555556
1,10,2,16,100,0,16,4096,0,0
1,8,2,8,75,25,16,4096,0,66.7488888889
1,30,2,8,90,10,16,4096,0,42.9363888889
1,6,4,16,75,25,16,4096,0,142.8466666667
1,30,1,2,50,50,16,4096,0,35.0905555556
1,20,4,8,25,75,16,4096,0,97.0425
1,8,4,8,100,0,16,4096,0,0
1,10,1,4,90,10,16,4096,0,33.6786111111
1,4,4,16,75,25,16,4096,0,125.4044444444
1,4,1,4,75,25,16,4096,0,41.1233333333
1,30,2,8,10,90,16,4096,0,100.2508333333
1,30,1,4,25,75,16,4096,0,51.2730555556
1,8,2,8,100,0,16,4096,0,0
1,4,4,4,0,100,16,4096,0,56.6161111111
1,30,2,4,100,0,16,4096,0,0
1,10,1,1,10,90,16,4096,0,32.4975
1,20,4,4,100,0,16,4096,0,0
1,8,2,8,25,75,16,4096,0,112.5113513514
1,6,2,8,100,0,16,4096,0,0
1,6,2,8,0,100,16,4096,0,101.6969444444
1,4,2,4,25,75,16,4096,0,46.8219444444
1,30,2,4,25,75,16,4096,0,55.0105555556
1,6,1,1,25,75,16,4096,0,31.4105555556
1,10,2,4,50,50,16,4096,0,50.2591666667
1,6,1,1,0,100,16,4096,0,31.6636111111
1,30,2,4,90,10,16,4096,0,36.3566666667
1,10,2,4,25,75,16,4096,0,53.2658333333
1,30,2,2,90,10,16,4096,0,34.2369444444
1,4,4,4,25,75,16,4096,0,48.4955555556
1,4,2,2,0,100,16,4096,0,38.2019444444
1,30,4,16,50,50,16,4096,0,189.7897222222
1,8,1,1,10,90,16,4096,0,31.8708333333
1,8,2,2,75,25,16,4096,0,33.8313888889
1,10,2,4,75,25,16,4096,0,45.8466666667
1,20,2,2,0,100,16,4096,0,42.6069444444
1,6,2,8,25,75,16,4096,0,93.8005555556
1,20,2,16,100,0,16,4096,0,0
1,10,1,2,10,90,16,4096,0,38.5236111111
1,20,2,2,25,75,16,4096,0,39.3047222222
1,20,1,8,75,25,16,4096,0,59.7043243243
1,30,1,8,90,10,16,4096,0,39.7275
